screen_id,survivors_top10,top10_boundary_tied,r2_size_alone
374,9,False,0.2391
375,9,False,0.2555
376,9,False,0.2237
377,9,False,0.231
378,9,False,0.2435
379,9,False,0.2239
380,9,False,0.2215
381,8,False,0.2462
382,9,False,0.2153
383,9,False,0.2401
384,9,False,0.205
385,9,True,0.225
386,9,False,0.1811
387,9,False,0.2488
388,9,False,0.1976
389,9,False,0.2776
390,8,False,0.2003
391,9,False,0.2438
392,9,False,0.2352
393,9,False,0.218
394,9,False,0.2523
395,9,True,0.2232
396,9,False,0.2171
397,9,False,0.2088
398,9,False,0.2661
399,9,True,0.2455
400,9,False,0.2373
401,9,False,0.2407
402,9,False,0.2677
403,8,False,0.2837
404,9,False,0.2262
405,2,True,0.7203
406,9,True,0.2237
407,9,False,0.2546
408,9,False,0.2235
409,9,True,0.209
410,9,False,0.2025
411,8,False,0.2003
412,9,False,0.227
413,9,False,0.2301
414,9,False,0.2337
415,9,True,0.2249
416,9,False,0.3166
418,9,True,0.2437
419,9,False,0.25
420,8,False,0.2567
421,9,False,0.2316
422,9,False,0.1832
423,9,True,0.1937
424,9,False,0.2783
425,8,False,0.227
426,8,False,0.2063
427,9,False,0.2312
428,8,False,0.2724
429,9,True,0.2999
430,9,False,0.2009
431,8,False,0.1628
432,9,False,0.2278
433,8,False,0.2348
434,9,False,0.236
435,9,False,0.2084
436,9,False,0.2254
437,9,False,0.2522
438,9,False,0.2757
439,9,False,0.2173
440,9,False,0.2505
441,9,False,0.2483
442,9,False,0.2787
443,9,False,0.2475
444,9,False,0.2358
445,9,False,0.2574
446,9,False,0.254
447,9,False,0.2488
448,9,False,0.2002
449,9,False,0.1934
450,9,False,0.2362
451,9,False,0.2416
452,9,False,0.2179
453,9,False,0.2501
454,8,False,0.2101
455,9,False,0.2076
456,9,False,0.2334
457,9,False,0.1973
458,9,True,0.1345
459,9,False,0.2245
460,8,False,0.2069
461,8,False,0.2689
462,10,True,0.2086
463,9,False,0.2072
464,9,True,0.2311
465,9,False,0.2759
466,9,False,0.3064
467,9,False,0.2072
468,8,False,0.2467
469,8,False,0.2428
470,8,False,0.2312
471,9,False,0.2103
472,9,False,0.2329
473,9,False,0.2483
474,9,False,0.2213
475,9,False,0.3109
476,9,False,0.2448
477,8,False,0.2718
478,9,True,0.2491
479,9,False,0.2406
480,9,False,0.2143
481,9,False,0.2256
482,8,True,0.2656
483,9,False,0.2099
484,9,False,0.2567
485,10,False,0.2309
486,9,False,0.2142
487,9,False,0.249
488,9,False,0.2552
489,9,False,0.2151
490,9,False,0.2927
491,9,False,0.1847
492,8,False,0.2244
493,9,False,0.2663
494,9,False,0.2817
495,9,False,0.1931
496,9,False,0.2143
497,9,False,0.2423
498,9,False,0.2203
