gene,log2FC,t,p,q
CREG1,-1.0657687315820255,-7.345187809567669,9.131438211253035e-10,2.812296884951161e-07
EBP,-1.0827299666458279,-7.314906753032305,9.148350864383624e-10,2.812296884951161e-07
AGRN,1.1382474467818096,6.990427224107249,1.1777322766123238e-09,3.5299580660762875e-07
COL1A1,2.2852295059252503,7.582904204616354,1.2202280000826017e-09,3.568125242192759e-07
PBXIP1,0.9580574198596512,6.919807749417355,1.8230938279967374e-09,5.204064739012592e-07
CTSE,1.9236237648882595,6.851894022761312,2.02348264212458e-09,5.641751952658509e-07
KRT17,3.2940755581455807,7.136229139648241,2.4149423619824774e-09,6.580169085865437e-07
CRIP2,2.009920057709773,6.811445770878448,2.5070073236054074e-09,6.679224622823385e-07
LY6E,1.0876553183233622,6.78684196947943,2.5819435342002557e-09,6.72933065902758e-07
GAS6,1.926344860374634,6.928753950076254,2.754845532812738e-09,6.928668448452141e-07
GDF15,1.5368494577655678,6.771532653640763,2.7740102220844337e-09,6.928668448452141e-07
RAB31,1.2254540217123298,6.790607640309741,3.7198174978943982e-09,9.101406526991008e-07
TPM1,1.2034584021807007,6.692265535155371,4.6334352825058636e-09,1.1098297282517367e-06
MDM2,1.069407417904169,6.644960914644021,4.768824054622742e-09,1.1098297282517367e-06
CHST3,2.122731036566056,7.334656305449539,4.813674690890842e-09,1.1098297282517367e-06
ST6GAL1,1.1095288762177589,6.583667365846402,6.694058734311637e-09,1.4925188858672793e-06
STX10,-0.892141838544994,-6.877087948465367,6.722497275572031e-09,1.4925188858672793e-06
NRN1L,-1.6735739544494286,-6.727926808781907,7.099041167568613e-09,1.5474619010541838e-06
RPS27L,1.047112268310487,6.726082102256809,7.3985746840974294e-09,1.5839555694222157e-06
PLXNB2,0.807373680165651,6.539188750120129,7.773750761382027e-09,1.6350789101440197e-06
LITAF,0.6631754870908173,6.61203923917149,8.057681300484426e-09,1.6555101825784834e-06
PSD3,1.7465965208784446,6.722954045123402,8.264632913553604e-09,1.6555101825784834e-06
GSN,1.2032840708503834,6.532885996533666,8.285145629719661e-09,1.6555101825784834e-06
ENSG00000273877,-2.0945656510338893,-6.97580664059208,1.0345286609138021e-08,2.030510936212318e-06
CD74,0.7455531879936803,6.457927716933059,1.0500598719256293e-08,2.030510936212318e-06
EMB,1.64590331536272,6.452598766105303,1.069523183808681e-08,2.035319595346393e-06
MCCC1,-1.0841648720874026,-6.567496643654105,1.5444994799692542e-08,2.8932819164611543e-06
ACAT1,-0.9666674557395956,-6.9539190544572955,1.5776816534895563e-08,2.9099731297978906e-06
QSOX1,0.7351543329440524,6.476488705259951,1.6563809307865527e-08,3.0088410574545425e-06
PHLDA3,1.4020037039650068,6.418855692411752,1.7996999969053723e-08,3.22038854670127e-06
ITGA2,1.9541154617181156,6.323095223450491,1.8373834678130974e-08,3.23946917582518e-06
SNX9,1.957826404849346,6.88633576088743,2.316503009478393e-08,3.986356825675658e-06
SOX4,1.5938228463467503,6.2661582215818425,2.327508364311419e-08,3.986356825675658e-06
ABCC3,2.0240625465917486,6.300925392177379,2.5100917151616854e-08,4.2385196581793585e-06
TMTC2,1.0833564338289055,6.232850252908804,2.8338089444854548e-08,4.718685477143906e-06
DPM2,-0.5810227407828199,-6.454736804930559,3.9601960837144215e-08,6.378485768538486e-06
PDLIM1,0.5796123222119274,6.26056449249,3.990934195674641e-08,6.378485768538486e-06
TRIM22,0.9638130962101021,6.138104828554747,3.9971618498151524e-08,6.378485768538486e-06
NICOL1,1.606286605907509,6.337811519244795,4.0644767065006536e-08,6.378485768538486e-06
SDR16C5,-1.0863250304664565,-6.623891843894592,4.096616933668057e-08,6.378485768538486e-06
MUC5B,3.4602912892347466,6.5397017083784785,4.4185520008485135e-08,6.761138016230918e-06
FDPS,-0.9021755880527031,-6.354431613417493,4.4551664299127746e-08,6.761138016230918e-06
COL18A1,1.9136472339695254,6.327058387391058,5.02275963898974e-08,7.5272331639809995e-06
RGS10,1.7921291088923177,6.511713657903604,5.5086873308284634e-08,8.153537334481783e-06
BACE2,1.220598779630662,6.085518013576323,5.601142752535626e-08,8.189280543920686e-06
UBTD1,-0.7317543769385377,-6.380434274304728,6.298854138497376e-08,9.098429188728317e-06
TM4SF1,1.2734821650557038,6.0285523082696635,6.589225776519784e-08,9.404550932701868e-06
MVD,-1.0985208102628974,-6.547106648500236,6.745903122753555e-08,9.514897945728514e-06
FADS1,-1.5986730584295437,-6.437710326417222,7.341176972205623e-08,1.0234112874392235e-05
PRSS23,1.8912664310554792,6.029790947282628,7.76721360503941e-08,1.0703577461013505e-05
C19orf81,-2.0073012283618428,-6.26348293937381,8.26241266220559e-08,1.125659834172532e-05
CERS2,-0.6377676818688451,-6.11601332679438,8.933946137694185e-08,1.2034728117395007e-05
SDC1,0.7966913436667644,5.929038745645454,9.420535224759534e-08,1.2549199645515783e-05
ADH5,-0.5304373779772185,-6.011283763311534,9.580892520988734e-08,1.2622562685069663e-05
HLA-DOA,1.2070279244905935,5.918232009618776,1.0411772654901648e-07,1.3568124169523462e-05
IFNAR2,1.287971395416605,5.948902390607082,1.2058260851830875e-07,1.5229222985389567e-05
