gene,log2FC,t,p,q
SFTPC,-3.0100636639303877,-4.6764198862709865,3.218794410015441e-05,0.0031745686982030345
PKIA,1.6956391279588154,4.602206379813149,3.284428671162445e-05,0.0032131777588606148
TEX41,1.8073422484697848,4.571416477299845,3.31885582303641e-05,0.0032208831991403755
ERG,1.4078017930039421,4.571160254416112,3.419089091996262e-05,0.0032669816681485516
LMNA,0.9566771865058321,4.650489306357554,3.4202182165927466e-05,0.0032669816681485516
CTNNAL1,0.7755565729688421,4.53587505160115,3.6359647308438556e-05,0.003445928761708345
ZNF771,-0.7109075735179147,-4.540272919255066,3.7087929677410887e-05,0.0034669038315600733
RGS4,2.2681054409377364,4.5452386381939105,3.718752194595195e-05,0.0034669038315600733
SFTPA1,-2.2519372660878414,-4.592577514991088,3.74383317067323e-05,0.0034669038315600733
DIRAS3,2.0646670784891423,4.521798375568589,3.785971470848962e-05,0.0034793651449143
SERTAD4-AS1,1.9176675451917835,4.527733905330677,3.841018537552044e-05,0.0035034132239882593
KDM6B,1.754581681008351,4.543197644981151,3.962793493050394e-05,0.0035652493738718718
LIMCH1,1.0997665192753479,4.5126210862160265,3.967592659077592e-05,0.0035652493738718718
COL10A1,2.071370273883676,4.57596328469864,4.084483229081635e-05,0.0036432989744109787
ATOH8,-1.6326192380801645,-4.492353793842574,4.177450320191567e-05,0.0036990255353462702
RGS5,3.063370561148128,4.482601740755034,4.369723528018528e-05,0.0038412402984342583
DNAJC22,1.7946029437734001,4.47626209748391,4.41050945921437e-05,0.003849200737390613
EGR3,2.349165245622378,4.4969941596157685,4.5070149799506865e-05,0.0038723792005250215
PHACTR2,0.7622212689903121,4.469246652272407,4.525909789719477e-05,0.0038723792005250215
IARS2,-0.5212062297274205,-4.488280166347263,4.532831971597997e-05,0.0038723792005250215
UCHL1,-1.0560513853390656,-4.4680461453115194,4.593929795683645e-05,0.0038873515571173395
LAMP5,2.038092890807385,4.52300481605002,4.614447483512463e-05,0.0038873515571173395
TCEAL4,-0.6744762221284537,-4.51375654347275,4.7662662264657656e-05,0.0039621896462341535
FREM1,1.8004124048782821,4.490567252840438,4.768606778915063e-05,0.0039621896462341535
IL34,1.6804168042092509,4.450119409615617,4.8189344175099196e-05,0.003976768259783187
TWIST1,2.0345636240550737,4.456747597472251,5.145400051370335e-05,0.004217489731295509
GADD45A,1.1213972986236875,4.443634814785203,5.247189272023526e-05,0.004272057252276335
PODNL1,1.8315823892904106,4.419763575782809,5.321820686528147e-05,0.004303933783218197
FRMD3,1.7370276362979193,4.416077473523878,5.4380173598980295e-05,0.004368780701518079
