gene,log2FC,t,p,q
MS4A8,1.4820084465529977,6.7667425218527395,5.551277358040904e-09,7.463118575035895e-07
CTSE,2.1640806805514767,7.355139115204228,5.5885696331823e-09,7.463118575035895e-07
IGFBP4,1.3735051447600268,7.105180701361984,5.657954954601219e-09,7.476243004748327e-07
CST6,1.9061926132916391,6.855165837315371,6.174947708419841e-09,8.074387352478569e-07
VAV2,1.272248456804897,7.255866956140227,7.805924919463143e-09,1.0101832527218642e-06
SEMA5A,1.553834329935854,6.6506983263304775,8.090630330792254e-09,1.0324038131552535e-06
PLXNB1,0.8895293145138208,6.655217387267057,8.142115629918752e-09,1.0324038131552535e-06
CEACAM6,1.1078584031037977,7.0995836493176645,8.4648610298909e-09,1.0625940050822045e-06
ENY2,0.5728403305106831,6.917075442535003,8.865688034324018e-09,1.1018909098501921e-06
LTBP2,1.3574098793988845,6.665537199293674,9.337616056971961e-09,1.143348030144516e-06
AGRN,0.8038751367494479,6.786482755817017,9.381410587499812e-09,1.143348030144516e-06
SERTAD4-AS1,0.9960408317798755,7.1334466076933785,1.1516213764534273e-08,1.3900291479442187e-06
SLC5A5,2.09107169782945,6.7358340116763005,1.197146158910429e-08,1.431216736457392e-06
DUSP23,1.13600791894845,6.644351207683728,1.2164022041728712e-08,1.4405185725454766e-06
TRPV4,1.3280840117069515,6.934256993185739,1.2341384720943839e-08,1.4422902707059977e-06
GALNT14,1.5826911098636087,6.637835079556535,1.2408774734027543e-08,1.4422902707059977e-06
GPC4,1.1740702487292407,7.019848817460537,1.2885332525744912e-08,1.483941093538311e-06
MST1R,1.2230787745805851,6.881897731832898,1.3573492058329435e-08,1.5489822346200856e-06
ETV5,1.4497878587126567,6.721886075749747,1.3857226225557319e-08,1.5621448471214258e-06
SDC3,1.2978981439677206,6.849802580369328,1.3937721889396934e-08,1.5621448471214258e-06
HSCB,0.678009580235273,6.671307056088723,1.42771405019491e-08,1.5860260594775844e-06
JMJD1C,0.8987956883657295,6.598240583485365,1.4527525589756892e-08,1.5860372060992096e-06
TMEM86B,1.1358587183250348,6.550654049237908,1.4529935370143319e-08,1.5860372060992096e-06
PAM,0.992569045837981,6.755780763747028,1.479705632093101e-08,1.6012711034193704e-06
RPS27L,0.9302337448321802,6.592371293178202,1.6307711987011074e-08,1.7496641758371797e-06
AK3,0.7699031191465409,6.484547522323232,1.879358408127902e-08,1.995749686549582e-06
SYT8,2.0759871607161884,6.532962395521306,1.891931910295549e-08,1.995749686549582e-06
KLK14,-1.8443091362499033,-6.426628094226854,2.0196456494152772e-08,2.1127176530924982e-06
EZR,0.9218418447881049,6.623421427178441,2.1202221206499917e-08,2.187158697075053e-06
