gene,log2FC,t,p,q
NCAM2,1.8934414588250004,4.74119999640228,6.195951918253417e-05,0.004749559246427376
LTBP1,0.7273079925642048,4.426096419925468,6.299144082631948e-05,0.004797509412610978
CCDC186,0.8092596218869961,4.462911572404316,6.50148345937721e-05,0.004919872579355639
ADGRG6,1.812357791111626,4.410304032098557,6.601637704418065e-05,0.004963154804014156
GSTO1,-0.5432660000154437,-4.431603993518271,6.642765430192601e-05,0.004963154804014156
TCF12,0.8974099976855845,4.409982209410555,6.723956869892835e-05,0.004992220808118548
CRYM,1.8776305296853475,4.404854552739475,6.793639133424743e-05,0.005012431873129943
ADH1B,-1.2382591526331002,-4.454737129017822,7.035792605035043e-05,0.0051588529007725896
CRISPLD1,1.6986963423702905,4.396602078790598,7.172098125214537e-05,0.005197297620137931
AOX1,-1.3361700951323554,-4.405123786097084,7.216069374428365e-05,0.005197297620137931
STAP2,1.4839620003960161,4.396534772958334,7.220303343520717e-05,0.005197297620137931
CLSTN3,2.0963674838444892,4.702147575889507,7.463695520377728e-05,0.005325569236602823
PDE7B,2.0029617108450966,4.370970724550601,7.48872929501117e-05,0.005325569236602823
SERTAD4-AS1,2.016690283968639,4.364657211039301,7.60250084968479e-05,0.005358305472865739
MYH10,1.1126613593004286,4.383914072937089,7.62554273139724e-05,0.005358305472865739
PLXDC1,2.474006589735552,4.489144669998607,7.980133689440725e-05,0.005574288651115251
PEAK1,0.9342753773227583,4.411821451160511,8.563944921750203e-05,0.005944428004183398
NINJ1,0.7280947251287211,4.359931735108068,8.610734338969599e-05,0.005944428004183398
PRRC2C,0.5307829749345796,4.366827832237075,8.782134663392748e-05,0.0060223161880953195
ENTPD1,2.2175260748534478,4.513483268396422,8.825588314616606e-05,0.0060223161880953195
TCIM,1.937078642343093,4.489361724387263,9.009153890026479e-05,0.006112244923664516
IL32,2.093694275584326,4.621571991633633,9.223506772233635e-05,0.006221914139783889
RNF150,1.784792380738641,4.293049454550124,9.787420435171997e-05,0.006564801036204854
RPLP0,-0.5568409247930823,-4.274515479746801,0.00010181533201068288,0.006757930897511008
ARHGAP18,1.9462978044542263,4.620755808196438,0.0001018984921437492,0.006757930897511008
NMT1,-0.8513271075165916,-4.2751937876489015,0.00010421947514173626,0.006873245274012271
TMCO6,-1.7069213098744913,-4.282031878323269,0.00010582466277546335,0.006888766229450126
ODF2L,0.8285839339762635,4.413564673245774,0.00010589079920775945,0.006888766229450126
CX3CL1,2.1299291147562025,4.317565900819968,0.00010620545986954027,0.006888766229450126
FGF14,1.8785823171447786,4.268243137861187,0.00010696355358997144,0.00690002595699242
GUCY1A1,1.8311071314672578,4.445154571822364,0.00011084564403702658,0.007077479979290567
COL1A1,1.4580923419203167,4.326472853371945,0.00011153427908984538,0.007077479979290567
TMSB4X,0.9549665455100804,4.450594326321548,0.00011220799033088629,0.007077479979290567
RHOJ,1.908064856453075,4.48237104266645,0.00011234143170993198,0.007077479979290567
TOP1,0.6549700658128694,4.249181681110932,0.00011271209115685104,0.007077479979290567
POLD4,-0.6520254854022154,-4.215961447362657,0.00012177616804704235,0.007606178115319232
PPL,-1.9165826468377691,-4.2048407302375335,0.00012713719659628196,0.007899234767468993
DST,0.7047460304098792,4.1885885485051935,0.00013429240367376184,0.00830011426894638
KCNMA1,1.9315595955688583,4.223735557855799,0.0001370221863383052,0.008424723488144234
GLDN,1.7543759158685825,4.1842434608720955,0.00013814756555914778,0.008449906794952017
PDE4B,2.03171249326718,4.283703333615683,0.00013967605538615788,0.0084993599682144
RPP25,-1.0415237778546373,-4.170896764495957,0.0001426605279811289,0.008636448886242187
FLOT2,-1.2259717113406596,-4.241877072883554,0.0001471954884913976,0.008865524192045657
RBFOX2,0.7438286717019134,4.227406752174482,0.0001519960507938451,0.009108189744270767
CALCRL,-1.6751482347959197,-4.156846454988624,0.00015314682095359655,0.009130799097763672
SERPINF2,-1.9580036598119188,-4.157539088991862,0.00015423851627577022,0.009147774316199736
NUDT5,-0.6148495892086157,-4.139860122398205,0.0001550524215541404,0.009147774316199736
