gene,log2FC,t,p,q
MARCKSL1,0.798565486796881,5.303929370763387,1.3871569651053013e-06,0.00012688282724758641
ANXA5,-0.4429899438661309,-5.310493739815931,1.4032712887757412e-06,0.00012739171083216765
IRAK2,-1.3196649327224694,-5.438046428367019,1.4730930740311285e-06,0.00013252225747528013
MALL,1.1119952005479945,5.243074101288053,1.4817380121884061e-06,0.00013252225747528013
RUNDC3B,2.1239040928088038,5.386357967264226,1.5108773732417927e-06,0.00013413480444501033
CYP4B1,-2.316596347456758,-5.242192498183911,1.539061722844638e-06,0.000135639644099461
TPST2,-0.8653549895485133,-5.298812527525672,1.5638911826532593e-06,0.00013682914593735835
CTHRC1,2.1279752311332585,5.2487227931174205,1.579481378784259e-06,0.0001371989796218787
CARD6,-0.6930699955545876,-5.3787232126952755,1.5999139078245716e-06,0.00013798114659338483
SLC29A1,0.6760623060909907,5.222506623870533,1.6331057523232638e-06,0.0001398448145641921
MMP16,1.6251112090743598,5.255228508769192,1.6688555456032349e-06,0.00014189973139164407
ANKRD65,1.7050674461603506,5.213307013945078,1.763771738413259e-06,0.00014892153824896286
LMNA,0.8380571943873765,5.204216758199256,1.787895703183679e-06,0.00014991008833499818
EBF1,1.7318105934491332,5.199268148272388,1.8500993917663e-06,0.00015405586245645727
ZNF503,-1.0823935159320257,-5.257366230180558,1.885269413028261e-06,0.0001559091978965974
BRI3,-0.8093078265977178,-5.17393273760669,1.959354803018141e-06,0.00016093367273225194
TPPP3,1.8364476428279872,5.180880445026927,2.045901974281632e-06,0.00016690689484781366
C8orf88,-1.0419200750005269,-5.306743556053807,2.0835003164455003e-06,0.00016883344175008705
TMOD1,-1.5612878774477243,-5.404964794555628,2.1223271192489203e-06,0.00016986886305480147
TMEM92,1.591071824693089,5.388617529541155,2.124415961675917e-06,0.00016986886305480147
RIPOR1,-0.77380334566796,-5.2177527439443985,2.2593322346620993e-06,0.00017946827237704072
CPVL,2.250437271436076,5.255082477766618,2.3025069234228475e-06,0.0001817024091072383
CD82,-1.807044643942736,-5.31685596880028,2.61710312443955e-06,0.00020518768262651384
FILIP1,1.7154579193599742,5.093858883935663,2.651499045121126e-06,0.00020654322239220952
IRF2BP2,0.781556962343255,5.100054924519575,2.6935555863715688e-06,0.00020812517757390188
PAICS,0.9516115287090914,5.090922278509233,2.7062823322099216e-06,0.00020812517757390188
RCAN1,1.3467997778913698,5.0840650226040855,2.7541997235931422e-06,0.00021046966748521263
SELENOW,0.8018555659651074,5.079804020675905,2.8096305729705944e-06,0.0002133552172204211
MGMT,0.6711442609244171,5.080164946985927,2.8875715133510206e-06,0.00021790336532625138
MT-CO1,0.6276860068724623,5.099232748171222,2.9232016327754013e-06,0.0002192219659262745
CD200,1.491154321288536,5.044007859351261,3.289853263487063e-06,0.00024478991163635937
PCSK6,-1.662011809847714,-5.050682537405004,3.3046840812263196e-06,0.00024478991163635937
TXNRD1,-1.2155982589665992,-5.084402074512665,3.326064023264649e-06,0.00024487132327376444
VWA1,2.2069982495989393,5.073956552601431,3.6268332753529754e-06,0.00026539627252492016
DUSP4,1.3855017604737787,5.00460970299017,3.7606075402789185e-06,0.0002735275628995642
NEURL1B,1.3049983842442376,5.00831938498426,3.8750722929531385e-06,0.0002801654063779413
CD74,0.986932190817603,5.014265844151745,3.9804445823693786e-06,0.000285355948115512
TSPAN13,1.233459556786201,4.988971555848615,3.994132452503026e-06,0.000285355948115512
CYP26B1,-1.9170680768038366,-4.983550746051585,4.184207859529095e-06,0.0002963631116548011
RBP5,2.015102786435284,4.975520623769221,4.197291046295427e-06,0.0002963631116548011
PTCHD4,1.4591152938950944,5.039544247222423,4.24007752853731e-06,0.000297643581857904
ARID5B,1.0558343714196665,4.979442223848132,4.3636599024285045e-06,0.0003022138784430559
MBNL1-AS1,1.2051650773872362,4.967072887170618,4.376331932193788e-06,0.0003022138784430559
SQSTM1,-0.46185728344033095,-4.969836881814559,4.380274037397282e-06,0.0003022138784430559
PKHD1L1,-1.855652639416558,-5.068524547002127,4.5135557888300775e-06,0.00030861032081816946
IGFBP3,-1.9001387752792178,-4.957556294658226,4.540011335360414e-06,0.00030861032081816946
STX11,-1.536208150327377,-5.271917452762605,4.549663500549458e-06,0.00030861032081816946
SLCO4A1,-1.7666938170068702,-4.973196134208716,4.648260029032411e-06,0.0003135368245281415
VPS35L,-0.9576153200991531,-4.958686921005692,4.675452563735201e-06,0.0003136189680807712
ADGRL4,0.8607787983876687,4.954602465556104,4.982292412752122e-06,0.0003323546883512106
PRRG4,-1.6616099815824001,-5.023358301344706,5.051284373297206e-06,0.00033510553584170584
NHERF2,-1.065086260439271,-5.049965468563921,5.170111057342357e-06,0.00034111432189263174
FBXO31,1.3339273233665132,4.9220713567456,5.387998584946135e-06,0.00035355812453608497
MAP4K2,-1.5237213581641154,-5.115644428762231,5.617545889785283e-06,0.0003666283733690136
RGS7BP,1.6368526816249562,5.040522429599117,5.746078417659728e-06,0.0003730008108323847
PDCD6,0.37943234789540004,4.893733247469178,5.928390704548933e-06,0.00038277748324451244
NPR3,-1.2335839371599526,-4.973934736725325,5.996070608207417e-06,0.0003850880666143423
MKNK2,-0.7340054576323842,-4.879205893130691,6.071671756565288e-06,0.00038788023697761527
ELOVL7,1.8809617515833117,4.961521873465926,6.361753714075101e-06,0.0004030540925974824
OLFM1,1.8704166845046384,4.867114768929143,6.375959225287322e-06,0.0004030540925974824
TSPAN14,-0.7149793140328162,-4.8738945552295805,6.432548401903732e-06,0.000404513486482217
ATP2B1,1.3152781909146105,4.900565426912114,6.594904147250576e-06,0.0004125744698129713
RXRG,-1.8321968583236847,-4.90667792001544,6.64384562776229e-06,0.0004134937737608345
CDA,2.1439006655296415,4.877932043276253,6.824021117231968e-06,0.00042252938958696815
OMD,-2.113588627663942,-4.869892048239643,6.8884523824458685e-06,0.0004243427248247521
ANKRD33B,-1.512690795658992,-4.871670088032699,7.004270169996673e-06,0.00042928709661187734
CD36,-1.7590339446343233,-4.820618733196772,7.613014441546139e-06,0.00046424008266276806
CNKSR3,1.172013197732257,4.829049857465392,7.776360529688758e-06,0.00047181797505257316
RAB8A,-0.550036085569662,-4.871004975972581,8.057341669575014e-06,0.0004864217165922436
LYST,-0.9978154435855906,-4.819049982922081,8.106316159434212e-06,0.00048694358860203326
CD79B,1.5515403049258283,4.862650163614932,8.286366400315915e-06,0.0004952949896901701
LAMC1,0.9939744381425104,4.838560614554188,8.406763972172757e-06,0.0005000160995074575
SOCS2,0.7266206725671376,4.794338429965171,8.512401967580602e-06,0.0005038173595910205
AAMDC,-0.5074180762685376,-4.807114546932544,8.660220009403013e-06,0.0005100658360660097
RAD21,-0.46740651630778807,-4.822258826828695,8.889986614170908e-06,0.0005187431261325349
ANGPTL1,-1.5573953439653507,-4.874264660090701,8.893475824866217e-06,0.0005187431261325349
TMEM100,-2.1643161596004408,-4.988802875170112,9.932879595853533e-06,0.000574883308169752
FRMD3,1.5261819774238263,4.804161268489696,9.951185307891184e-06,0.000574883308169752
PAFAH1B3,0.8807582439057713,4.773821111804646,1.0137080510077513e-05,0.000582244560166811
FLOT2,-0.49636646657571326,-4.7523209960846735,1.0175054016498023e-05,0.000582244560166811
MRPL22,-0.5367378165478769,-4.826006275995262,1.043341397496479e-05,0.0005942124544043625
TNFRSF10B,0.9840163479800621,4.724494958940676,1.0977921797089587e-05,0.0006222883933242238
PMP22,-0.7042462877812143,-4.738584717078974,1.1342889187837643e-05,0.0006399721684764098
GNL3,0.8997840477476906,4.762193846504405,1.1506751577643626e-05,0.0006461977606905541
ST6GALNAC3,-1.1749381137079045,-4.795437695167535,1.1733332808574022e-05,0.0006558715756051979
PIR,-0.9181156176154,-4.722446637151794,1.2073699176084744e-05,0.0006717872988573604
NDRG4,-1.7122757546560603,-4.734377875050036,1.2383692421094221e-05,0.0006858747811573011
SLC25A29,-1.0471677264990893,-4.681915001770411,1.2829511747264551e-05,0.0007073220312167679
