job,n_sets,r2_query,r2_control,size_min,size_max
045bb394-ffb3-4cea-9a65-c8208580cbcd,1316,0.1868,0.4572,171,102806
046e6f19-b238-453d-b2fb-758c50197788,32610,0.278,0.6327,1,807639
04819184-fa92-47ed-a3a9-cc39ed930e05,775,,0.3973,224,128027
049789b4-3d61-4df2-b931-e2ffefe67c0c,7521,0.535,0.5595,1,646491
049af925-2d7c-455d-a596-6136ed210ed8,26070,0.4388,0.4674,29,807639
04d612ec-03b5-4501-8be4-ff47222006e7,21561,0.3874,0.6165,53,807639
04deb9c3-38d8-4c53-b4c0-2d77142baba5,858,0.5685,0.7433,8,91697
056f38a1-1182-4602-bc25-b22d04572376,7286,0.2064,0.3673,75,529293
057a9b98-292e-4041-a70b-b97aa1a96fc3,2372,0.3778,0.6352,39,40268
0583d301-e593-4cbe-8e62-3f5358da29c1,2114,0.197,0.3409,6,807639
05b7a4e7-9342-4825-9d13-daf18088afbc,9018,0.0499,0.5317,150,285009
05e9aecd-b2bd-4560-900a-66690f9275cb,1540,0.6295,0.6593,39,128027
0620640c-a39e-42bd-8637-c4a00687692f,30847,0.4944,0.6242,4,329818
062aef2f-acb0-4a46-9407-78ee8170ebdf,1198,0.0027,0.0142,840,807639
064cb768-2503-4a3c-bbb6-54b9f677dc49,2833,0.3383,0.32,63,107425
0671b984-2255-4df3-ae67-de30a7a31a9e,6058,0.3261,0.3287,145,529293
068d84e4-ec3f-4735-a748-c0ae32309b8a,32441,0.475,0.585,1,807639
06d44fa5-9ad6-44dc-8a3f-74dbc51f0bd0,620,,0.3476,57,92145
071aea92-5550-4017-abfa-6e3b14770e8f,23406,0.4971,0.5341,57,529293
08332177-f146-4879-ab5d-7d065b0be9d6,7848,0.5447,0.4684,127,115270
083f4603-7c3e-4fa7-baec-d9130703aecb,405,0.455,0.6904,269,165321
085d186b-b9fa-409a-94df-50902f4f1083,31979,0.343,0.5661,3,807639
085ffd8e-c18c-489e-a693-92b53698ef48,5636,0.5495,0.5897,34,214929
086b26ce-cd64-42b2-9026-116ac593dd81,249,0.0001,0.1699,4944,264844
08b2dabb-c378-4b06-b447-edb6f06fde84,32615,0.1914,0.6477,1,807639
09278ad6-bf8a-440c-b727-037c4d77e1f1,32352,0.4988,0.5732,6,329818
0940017d-bc1d-4caf-bfce-d2955660c2be,16847,0.1161,0.5839,113,284899
0a6203e7-0fb7-4010-8eff-48176d22f4c6,1569,0.4836,0.6946,17,128027
0a7ea9c2-d32d-4dab-bc44-76c088bfaefd,493,,0.1689,388,92145
0adebc66-be53-47fa-9301-554075be57ac,32614,0.0051,0.7255,1,807639
0aeaff29-d399-4b99-a217-80ea19b65264,32150,0.5278,0.6111,9,807639
0bcc4a48-0f11-4bac-97c4-29157b5410ce,20331,0.2953,0.5213,41,807639
0be920ad-f450-44dd-a926-734ed29b0efd,9008,0.6137,0.6124,78,157312
0c01606c-be17-4298-a45d-c085923e61e3,32617,0.1425,0.6472,1,807639
0c03c281-e2dc-4f3b-a52f-c28535cd5b61,15098,0.1954,0.0561,108,807639
0c0caf32-8446-4017-931f-f94c26039ada,27359,0.315,0.5486,34,529293
0c17c307-b474-420e-b958-6a230117e7d8,241,0.1835,0.3412,259,53559
0c49a659-ca54-4366-adfa-0e7583fb52d5,25166,0.3989,0.6889,71,807639
0c7ca86a-94a4-43c3-9c59-20754d160b28,21535,0.2407,0.5357,39,807639
0ca756e9-d67b-4c34-95cf-b5dd0d7e689b,9381,,0.1149,336,318281
0cab47f7-ab5a-4c5a-8651-8627f46ac084,7378,0.5307,0.5312,8,180689
0d2b627d-a103-4900-966f-c0a1acd0d72b,1461,0.7356,0.4048,8,521369
0d410930-65cb-4788-a889-6b71f32e07e5,849,0.3905,0.8266,23,165321
0d4aa0f3-3efb-4103-b892-4ab54037a7e7,35223,0.5167,0.5695,1,529293
0da269f7-5aa3-419c-901a-69610416d981,22312,0.3513,0.6035,4,284953
0e2fe2b8-7ace-4eef-b25a-58bb5a7471c8,56,,,6108,112239
0e49e446-b68f-4d66-b943-5be9022e7feb,24569,0.34,0.7208,39,807639
0ee86a64-160c-4043-9d94-194ec7ad6a61,32616,0.0124,0.7113,1,807639
0ef3cfb7-9b8f-499e-99a9-0fa3e2ec63e4,15,0.6822,0.7631,2258,29397
0efb0a2c-7564-4f4d-8b5c-67e3f1ae2bfa,25538,0.2374,0.6207,11,796659
0f28edcf-c865-4bbb-8aed-f1f834959b69,3796,0.4387,0.3443,217,180689
0f8ac3c9-73f3-4516-bb4d-46ef8e947ba7,34397,0.6705,0.5783,4,529293
0faef052-adea-455b-95c5-a75c06808cac,8894,0.4977,0.5,119,159918
0fbe9496-fe07-4f44-8374-a22aecf815b7,32575,0.006,0.7474,1,807639
0fbfe4f9-d918-401d-a420-b533ce29801e,3684,0.0009,0.1801,285,807639
0fc3bd30-f847-480b-b360-0990b6b5d76c,6076,0.4728,0.6061,44,285009
0fc74243-dcb0-46e4-be3d-a8c282aa47d0,968,0.5724,0.6292,70,247735
0ffb0639-7a57-4b3c-a43c-b44590b54282,6151,0.627,0.6614,25,156283
101d35c7-7208-43bf-9a8d-4ac9e0907873,5728,0.3535,0.6074,54,285009
10793916-cc97-43fe-8b13-d9f5be30e17f,29082,0.35,0.7805,9,172836
110312eb-36d9-49db-996f-45733613bb8d,31972,0.4978,0.5942,2,329818
1119dc51-410e-45e0-93da-656edc7e4c86,23521,0.4571,0.6751,4,195375
114aeed8-76e1-4708-8413-efdd903255d7,19575,0.3828,0.3378,17,285009
11629ff8-f68a-4e9f-97d4-dd338e6f12e8,32501,0.4993,0.591,2,329818
