screen_id,gate_r2_logsize,n_sets_used,has_scores,before_rho2,before_r2_linear,source_id,C1_hypergeom_rho2,C1_hypergeom_top10,C1_hypergeom_r2_linear,C2_perm_z_rho2,C2_perm_z_top10,C2_perm_z_r2_linear,C3_camera_rho0_rho2,C3_camera_rho0_top10,C3_camera_rho0_r2_linear,C4_vif_rho01_rho2,C4_vif_rho01_top10,C4_vif_rho01_r2_linear,C4_vif_rho05_rho2,C4_vif_rho05_top10,C4_vif_rho05_r2_linear,C5_residual_rho2,C5_residual_top10,C5_residual_r2_linear
1192,0.1959,50,True,0.1249,0.1892,31727847,0.003,10,0.021,0.0079,10,0.0101,0.001,8,0.03,0.0097,8,0.0046,0.0292,8,0.0003,0.0132,8,0.0
1193,0.1748,50,True,0.1242,0.166,31727847,0.0147,10,0.0178,0.0027,10,0.0058,0.1145,8,0.0784,0.0395,8,0.0327,0.0212,8,0.0103,0.0041,9,0.0
1199,0.1662,50,True,0.0982,0.1368,31519728,0.0045,8,0.0372,0.0181,8,0.0006,0.0,4,0.0287,0.0151,3,0.0017,0.0471,3,0.0038,0.0011,8,0.0
1203,0.0516,50,True,0.0189,0.0485,27667664,0.0044,9,0.0098,0.1805,8,0.0018,0.0433,2,0.0,0.1284,2,0.0162,0.2047,2,0.0543,0.0913,9,-0.0
1204,0.212,50,True,0.0927,0.1839,27667664,0.0169,9,0.0308,0.0581,9,0.0075,0.0437,9,0.0515,0.0109,9,0.0231,0.0003,8,0.0083,0.0121,9,0.0
1205,0.1919,50,True,0.1107,0.1738,31551363,0.031,9,0.0234,0.0583,9,0.0049,0.1527,8,0.0493,0.0554,8,0.0225,0.0203,8,0.0085,0.0117,8,0.0
1206,0.0733,50,True,0.0172,0.0648,31551363,0.0072,7,0.0308,0.1482,7,0.015,0.1278,6,0.0621,0.0785,6,0.0353,0.041,6,0.0192,0.1444,7,0.0
1209,0.5586,50,True,0.4616,0.5167,31142663,0.0,3,0.0002,0.0022,3,0.0042,0.0022,5,0.0125,0.0057,4,0.0031,0.0316,4,0.0323,0.0023,3,0.0
1210,0.691,50,True,0.5168,0.6575,31142663,0.0055,7,0.0232,0.0006,6,0.0071,0.0058,4,0.0,0.0276,3,0.0751,0.0938,2,0.2083,0.0142,3,0.0
1220,0.201,50,True,0.1637,0.1832,33333024,0.0042,6,0.0022,0.0296,6,0.03,0.1151,3,0.0909,0.0553,2,0.0205,0.0247,2,0.0007,0.0001,6,0.0
1221,0.2379,50,True,0.2519,0.2193,33333024,0.0001,6,0.0056,0.0041,6,0.011,0.0318,1,0.0525,0.0025,1,0.0159,0.0013,0,0.0019,0.0044,5,0.0
1222,0.3949,50,True,0.3124,0.3412,33333024,0.0025,5,0.0002,0.0017,5,0.0089,0.037,1,0.0556,0.0051,1,0.0108,0.0026,1,0.0,0.0028,5,-0.0
1224,0.177,50,True,0.1338,0.1859,27351204,0.0804,9,0.0709,0.0086,9,0.0166,0.0216,2,0.0111,0.064,2,0.0568,0.0994,1,0.1082,0.0089,9,0.0
1225,0.1169,50,True,0.0654,0.0932,27351204,0.0228,9,0.0035,0.0123,9,0.0,0.0028,5,0.0106,0.0069,5,0.0002,0.0287,5,0.0111,0.0101,9,0.0
1227,0.0408,50,True,0.0291,0.0369,29736038,0.0148,7,0.0106,0.2186,7,0.0009,0.0995,3,0.0972,0.037,3,0.049,0.0088,3,0.0208,0.2186,7,0.0
1228,0.185,50,True,0.1604,0.1724,29507424,0.0075,7,0.0007,0.034,7,0.0067,0.0017,7,0.0033,0.0303,6,0.0073,0.0613,6,0.0354,0.0079,8,0.0
1229,0.1965,50,True,0.185,0.2152,29507424,0.0469,7,0.0419,0.0003,7,0.0111,0.006,3,0.0526,0.0008,3,0.0151,0.0149,3,0.0008,0.0004,6,0.0
1238,0.4551,50,True,0.2705,0.418,32238925,0.0484,8,0.0425,0.0611,7,0.0055,0.0469,6,0.0721,0.012,6,0.0314,0.0001,6,0.01,0.0092,6,0.0
1239,0.2332,50,True,0.0779,0.2066,32238925,0.0081,9,0.05,0.0007,9,0.0301,0.0,4,0.0125,0.0163,4,0.0006,0.0365,4,0.0171,0.0341,8,0.0
1240,0.5175,50,True,0.3152,0.4783,32238925,0.0036,8,0.0302,0.0059,8,0.0057,0.0751,6,0.045,0.023,5,0.0084,0.0033,5,0.0,0.0111,7,0.0
1241,0.1445,50,True,0.1014,0.1214,32238925,0.013,6,0.0225,0.0,6,0.0016,0.0011,5,0.0127,0.0237,5,0.0011,0.0557,5,0.0215,0.0,6,0.0
1242,0.3291,50,True,0.2381,0.3345,32238925,0.003,8,0.006,0.0,8,0.0033,0.0008,4,0.0499,0.0129,2,0.0055,0.043,2,0.0027,0.0089,7,0.0
1243,0.3394,50,True,0.1275,0.2801,32238925,0.0194,8,0.0367,0.0414,8,0.0031,0.05,7,0.0612,0.0021,7,0.0209,0.0044,7,0.0031,0.0245,7,0.0
1244,0.3179,50,True,0.1543,0.273,32238925,0.0063,7,0.0487,0.0188,7,0.0098,0.0442,6,0.0576,0.0038,6,0.0198,0.0013,6,0.0033,0.0129,7,0.0
1245,0.3409,50,True,0.2893,0.3061,32238925,0.0195,8,0.0198,0.0086,8,0.0044,0.1634,6,0.0941,0.0931,6,0.05,0.0657,5,0.0244,0.0002,7,-0.0
1246,0.4194,50,True,0.1623,0.3539,32238925,0.0132,8,0.0337,0.0255,8,0.0069,0.1288,7,0.0614,0.042,7,0.0253,0.0062,7,0.0079,0.0088,7,0.0
1247,0.3784,50,True,0.1792,0.332,32238925,0.0067,8,0.0384,0.0186,8,0.0089,0.1145,7,0.0684,0.0368,7,0.0277,0.0053,7,0.008,0.0092,7,-0.0
1248,0.324,50,True,0.2414,0.3047,32238925,0.0228,7,0.0165,0.0097,6,0.0059,0.0144,5,0.0007,0.0728,3,0.0159,0.1143,3,0.0583,0.0002,5,0.0
1249,0.3268,50,True,0.0959,0.2701,32755594,0.0004,7,0.0201,0.0316,7,0.0021,0.0418,6,0.0585,0.0043,5,0.0213,0.0026,5,0.0039,0.0122,7,0.0
1250,0.0818,50,True,0.0236,0.0717,32755594,0.0044,9,0.0315,0.0484,9,0.0044,0.0438,5,0.0656,0.0076,4,0.0347,0.0024,4,0.0164,0.0455,9,0.0
1251,0.1497,50,True,0.0392,0.1259,32755594,0.0019,9,0.0156,0.0448,9,0.0054,0.0105,6,0.0284,0.0802,6,0.0097,0.1495,6,0.0013,0.0228,9,0.0
1255,0.5771,50,True,0.4044,0.5634,31855178,0.0376,7,0.0185,0.0529,6,0.0359,0.0281,2,0.0348,0.0,1,0.0009,0.0079,1,0.0083,0.0007,6,0.0
1256,0.7623,50,True,0.5228,0.6975,30962421,0.101,6,0.0676,0.084,5,0.0891,0.1248,3,0.1128,0.0518,3,0.0415,0.0147,2,0.0108,0.0095,2,0.0
1257,0.6056,50,True,0.2292,0.5145,30962421,0.0362,7,0.0021,0.0739,7,0.0137,0.0058,6,0.0107,0.0066,5,0.0002,0.0303,5,0.0025,0.0283,6,-0.0
1258,0.6048,50,True,0.2767,0.5306,30962421,0.0179,8,0.0088,0.026,6,0.0004,0.1284,5,0.0946,0.0488,5,0.0271,0.0117,5,0.0031,0.032,5,0.0
1291,0.3261,50,True,0.2608,0.3178,30154076,0.098,9,0.0461,0.0566,8,0.0343,0.0207,6,0.0221,0.0003,5,0.001,0.0052,4,0.0314,0.0003,8,0.0
1292,0.1638,50,True,0.0808,0.1396,32990596,0.0336,9,0.0267,0.0701,9,0.004,0.0522,8,0.0701,0.0113,8,0.0269,0.0005,8,0.0063,0.0101,9,0.0
1293,0.1548,50,True,0.0762,0.1416,32990596,0.0389,9,0.0316,0.0949,9,0.0053,0.0349,9,0.0575,0.0067,8,0.0213,0.0,8,0.0047,0.0187,9,0.0
1294,0.2357,50,True,0.1222,0.2019,32990596,0.012,9,0.0245,0.0464,9,0.0059,0.0933,9,0.0629,0.0349,9,0.0267,0.0064,8,0.0087,0.0121,9,0.0
1295,0.1903,50,True,0.0935,0.1574,32990596,0.0287,9,0.0289,0.074,9,0.0043,0.1291,8,0.0875,0.0491,8,0.0429,0.0218,7,0.0176,0.0105,9,0.0
1296,0.2211,50,True,0.1322,0.1886,32990596,0.0214,9,0.0205,0.0696,9,0.0036,0.0397,9,0.0568,0.0025,9,0.0194,0.002,9,0.0033,0.0073,8,0.0
1297,0.1396,50,True,0.0793,0.1317,32990596,0.0024,9,0.034,0.054,9,0.0131,0.1129,8,0.0872,0.0686,8,0.0468,0.0328,8,0.0228,0.0091,8,0.0
1298,0.1905,50,True,0.1448,0.1678,32990596,0.0003,10,0.022,0.0376,10,0.0074,0.0682,10,0.0533,0.01,10,0.0201,0.0,10,0.0049,0.0057,10,0.0
1299,0.2149,50,True,0.1254,0.1877,32990596,0.0057,9,0.0231,0.0231,9,0.0029,0.1441,9,0.0888,0.0701,9,0.0434,0.0224,9,0.0179,0.0058,8,0.0
1300,0.2139,50,True,0.1029,0.1823,32990596,0.0101,9,0.0267,0.0347,9,0.005,0.0476,9,0.0679,0.009,9,0.0297,0.0004,8,0.0099,0.0137,8,0.0
1301,0.1579,50,True,0.0762,0.1289,32990596,0.019,9,0.0235,0.0649,9,0.0023,0.0778,8,0.0769,0.0296,8,0.0332,0.0096,8,0.0103,0.0042,9,0.0
1302,0.2077,50,True,0.0807,0.1723,32990596,0.0041,9,0.0196,0.0492,9,0.0029,0.1424,8,0.1033,0.0879,8,0.0592,0.0434,8,0.0317,0.0145,8,0.0
1303,0.1858,50,True,0.1034,0.158,32990596,0.0254,9,0.0237,0.0709,9,0.0012,0.1164,8,0.0917,0.0459,8,0.0454,0.0177,8,0.0196,0.0124,9,0.0
1304,0.2049,50,True,0.078,0.1682,32990596,0.0383,9,0.0276,0.1082,9,0.0039,0.0337,8,0.049,0.0,8,0.0116,0.0114,8,0.0001,0.0113,9,0.0
1305,0.2183,50,True,0.0911,0.1775,32990596,0.0315,9,0.0297,0.0771,9,0.0033,0.0742,9,0.0766,0.0186,9,0.032,0.0015,8,0.0092,0.0136,9,0.0
1306,0.2038,50,True,0.0938,0.167,32990596,0.0271,10,0.0288,0.0675,10,0.005,0.0843,8,0.0721,0.0145,8,0.0325,0.0017,8,0.0111,0.0127,9,0.0
1307,0.1811,50,True,0.0609,0.1461,32990596,0.048,9,0.0301,0.1114,9,0.0028,0.0945,8,0.0897,0.0507,8,0.0496,0.0231,8,0.0255,0.0198,9,0.0
1308,0.1704,50,True,0.0723,0.134,32990596,0.0355,9,0.0246,0.092,9,0.0029,0.0627,8,0.0615,0.0163,8,0.0213,0.0014,7,0.0038,0.0123,8,0.0
1309,0.1694,50,True,0.1046,0.1508,32990596,0.064,9,0.0254,0.1049,9,0.0018,0.0774,8,0.0633,0.0205,8,0.0239,0.005,8,0.0059,0.0137,9,-0.0
1310,0.2398,50,True,0.1021,0.1885,32990596,0.0117,10,0.0226,0.0634,10,0.0043,0.0316,9,0.0479,0.0011,9,0.0149,0.0025,9,0.0019,0.012,10,0.0
1311,0.1265,50,True,0.0559,0.1014,32990596,0.0562,9,0.0207,0.0944,9,0.0008,0.0795,8,0.0763,0.0237,8,0.0339,0.0022,8,0.0119,0.0094,9,0.0
1312,0.1658,50,True,0.0676,0.138,32990596,0.0271,9,0.0235,0.0677,9,0.0015,0.0924,8,0.0847,0.0404,8,0.0405,0.0148,8,0.0164,0.0137,9,0.0
1313,0.0603,50,True,0.0548,0.0614,32649862,0.0211,7,0.0084,0.0577,7,0.0006,0.0221,5,0.0419,0.0,5,0.0072,0.0046,5,0.0002,0.0548,7,0.0
1314,0.033,50,True,0.0037,0.0237,32649862,0.0007,4,0.0091,0.2455,4,0.0006,0.0139,4,0.0093,0.0046,4,0.0089,0.0269,4,0.0553,0.2455,4,0.0
1315,0.0135,50,True,0.008,0.0048,32649862,0.0237,8,0.002,0.2978,8,0.0093,0.0025,4,0.0131,0.0141,4,0.0035,0.0494,4,0.0399,0.2812,8,0.0
1316,0.0598,50,True,0.0427,0.0678,32649862,0.0148,8,0.0168,0.0886,8,0.0015,0.1154,4,0.0896,0.03,4,0.0096,0.002,4,0.0041,0.0729,8,-0.0
1317,0.0448,50,True,0.015,0.0334,32649862,0.009,10,0.0171,0.366,10,0.0006,0.0057,4,0.0065,0.0722,3,0.0974,0.1349,2,0.2049,0.366,10,0.0
1318,0.0813,50,True,0.0392,0.0683,32649862,0.003,6,0.0008,0.0324,6,0.0043,0.002,3,0.0002,0.0509,3,0.0503,0.1061,3,0.1298,0.0198,7,0.0
1319,0.0009,50,True,0.0001,0.0,32649862,0.0037,5,0.0318,0.2628,5,0.0595,0.0027,2,0.0023,0.008,2,0.025,0.0284,2,0.0899,0.2532,5,0.0
1320,0.0941,50,True,0.0185,0.0683,32649862,0.0003,7,0.0225,0.0552,7,0.0071,0.0125,4,0.0238,0.0048,4,0.0007,0.0423,4,0.0069,0.049,7,-0.0
1321,0.0045,50,True,0.0123,0.0,32649862,0.0366,6,0.0133,0.2924,5,0.0599,0.0082,5,0.0151,0.0096,5,0.0039,0.0437,4,0.0428,0.089,9,0.0
1322,0.1624,50,True,0.1023,0.1404,32649862,0.0265,6,0.0084,0.0016,6,0.0043,0.0225,3,0.0187,0.0018,3,0.0042,0.0008,3,0.0001,0.0003,6,0.0
1323,0.0743,50,True,0.0264,0.0598,32649862,0.0147,7,0.023,0.2132,7,0.0069,0.0035,1,0.0006,0.0054,1,0.0329,0.0216,0,0.0829,0.2132,7,0.0
1324,0.0738,50,True,0.0501,0.0767,32649862,0.0289,8,0.0274,0.138,8,0.014,0.0,4,0.0042,0.0264,3,0.0053,0.0535,4,0.0324,0.1357,8,0.0
1325,0.0457,50,True,0.0007,0.0293,32649862,0.0012,9,0.0166,0.1949,9,0.0012,0.0668,3,0.0408,0.007,3,0.0101,0.0001,3,0.0002,0.1851,9,0.0
1326,0.1225,50,True,0.0404,0.0993,32649862,0.0037,6,0.0146,0.0291,6,0.005,0.0364,3,0.0175,0.0082,3,0.0012,0.0002,3,0.0023,0.027,6,0.0
1327,0.1397,50,True,0.0489,0.1236,32649862,0.013,6,0.0243,0.0247,6,0.01,0.0988,3,0.0507,0.0392,3,0.0256,0.0056,3,0.011,0.024,6,0.0
1328,0.1683,50,True,0.1079,0.1543,32649862,0.0517,7,0.0563,0.0012,7,0.0143,0.0016,3,0.0111,0.0083,3,0.0005,0.0384,3,0.0156,0.0012,7,0.0
1329,0.0926,50,True,0.1015,0.0981,32649862,0.0455,7,0.0089,0.0234,7,0.0004,0.015,2,0.001,0.0523,2,0.0213,0.0877,2,0.0566,0.0191,7,-0.0
1330,0.0398,50,True,0.0313,0.0212,32649862,0.0105,6,0.0011,0.1476,6,0.0218,0.0362,1,0.0172,0.091,1,0.0627,0.1304,1,0.1116,0.1476,6,0.0
1331,0.0821,50,True,0.0439,0.0609,32649862,0.0125,8,0.0141,0.0333,8,0.0014,0.014,2,0.0,0.0001,2,0.0093,0.0107,2,0.0247,0.0278,9,0.0
1332,0.014,50,True,0.0031,0.0076,32649862,0.0006,6,0.0005,0.2914,6,0.0062,0.0097,4,0.0,0.0003,4,0.0072,0.0142,4,0.0201,0.2914,6,0.0
1334,0.2136,50,True,0.2181,0.2273,32649862,0.1578,8,0.0857,0.0049,7,0.0686,0.0101,4,0.0028,0.0701,4,0.0122,0.1003,4,0.0569,0.0005,7,0.0
1335,0.0307,50,True,0.0001,0.021,32649862,0.0076,7,0.0027,0.1731,7,0.0027,0.0007,3,0.0062,0.0108,3,0.0006,0.0475,3,0.0119,0.1427,8,0.0
1336,0.052,50,True,0.0038,0.0274,32649862,0.0278,9,0.0001,0.1172,9,0.0183,0.0,5,0.0033,0.0102,4,0.0079,0.0279,4,0.0397,0.0199,9,0.0
1337,0.0763,50,True,0.0149,0.0501,32649862,0.0012,9,0.0193,0.0888,9,0.0027,0.0327,3,0.0486,0.0018,3,0.0171,0.0028,3,0.0023,0.0845,9,0.0
1338,0.1528,50,True,0.0279,0.1029,32649862,0.0023,7,0.0097,0.0651,7,0.0001,0.0,5,0.0214,0.0092,4,0.0065,0.023,4,0.0005,0.0152,7,0.0
1339,0.0221,50,True,0.0001,0.016,32649862,0.0159,6,0.0045,0.1537,6,0.0066,0.0,2,0.0179,0.0192,2,0.0,0.0412,2,0.0103,0.1186,8,-0.0
1340,0.0513,50,True,0.0122,0.0376,32649862,0.0002,7,0.0185,0.1125,7,0.0033,0.019,3,0.0042,0.0506,3,0.0012,0.0722,3,0.0148,0.0857,10,0.0
1341,0.0739,50,True,0.0157,0.0568,32649862,0.0041,7,0.011,0.1375,7,0.0024,0.0522,3,0.0338,0.0047,3,0.0102,0.0003,3,0.0015,0.136,7,0.0
1342,0.2112,50,True,0.1864,0.1927,32649862,0.0875,8,0.029,0.0236,8,0.0204,0.0022,4,0.0185,0.0084,4,0.0002,0.0441,4,0.0076,0.0,8,-0.0
1343,0.1324,50,True,0.1419,0.1281,32649862,0.0638,8,0.0182,0.0,8,0.0086,0.0558,4,0.0485,0.0125,3,0.0068,0.0011,3,0.0006,0.0,8,0.0
1348,0.063,50,True,0.0614,0.0614,29973717,0.0379,8,0.0137,0.0959,8,0.006,0.0057,4,0.018,0.0007,4,0.0024,0.0181,4,0.0007,0.0916,8,0.0
1349,0.0579,50,True,0.0226,0.0413,29973717,0.0068,8,0.0067,0.0725,8,0.0,0.0,3,0.0038,0.0077,4,0.0031,0.031,4,0.0234,0.0655,8,0.0
1350,0.007,50,True,0.0008,0.0019,29973717,0.0056,8,0.0005,0.3819,8,0.0132,0.0258,4,0.0083,0.0008,4,0.0004,0.0055,4,0.0109,0.3734,8,0.0
1351,0.5994,50,True,0.7149,0.6112,29973717,0.0288,5,0.0009,0.0207,5,0.0057,0.0617,2,0.0588,0.0116,1,0.0207,0.0001,1,0.0036,0.0236,4,0.0
1352,0.6002,50,True,0.6141,0.5878,29973717,0.0222,7,0.0234,0.0088,6,0.0041,0.0048,2,0.0045,0.0295,1,0.0017,0.086,0,0.0155,0.0002,5,-0.0
1353,0.2845,50,True,0.2619,0.3059,31451760,0.1222,6,0.0752,0.0793,6,0.0561,0.0963,7,0.1402,0.0603,7,0.0887,0.0316,7,0.0541,0.0028,6,0.0
1355,0.049,50,True,0.0167,0.0387,30991026,0.0047,7,0.0001,0.1512,7,0.0283,0.0261,2,0.0555,0.0002,1,0.0025,0.0152,1,0.0097,0.1482,7,-0.0
1360,0.2021,50,True,0.2373,0.195,30862715,0.1183,8,0.0427,0.0135,8,0.0013,0.0009,4,0.0032,0.0444,4,0.0197,0.0928,3,0.0772,0.0142,8,0.0
1361,0.7098,50,True,0.5351,0.6979,31048320,0.0381,8,0.0509,0.026,8,0.04,0.1503,1,0.1125,0.0793,1,0.0426,0.038,1,0.0115,0.0042,4,-0.0
1362,0.6922,50,True,0.5089,0.6731,31048320,0.0009,5,0.0005,0.0002,5,0.0,0.0381,3,0.0339,0.0022,3,0.0,0.0013,2,0.0209,0.01,3,0.0
1363,0.6145,50,True,0.5456,0.6231,31048320,0.0003,6,0.0209,0.0,6,0.0081,0.0017,3,0.0112,0.0435,3,0.0027,0.0831,2,0.0296,0.0288,3,0.0
1364,0.1234,50,True,0.153,0.1468,31730859,0.1337,9,0.0773,0.0056,9,0.0458,0.197,5,0.1858,0.0931,5,0.1206,0.0277,5,0.0627,0.0129,9,0.0
1365,0.0293,50,True,0.0006,0.0205,32094149,0.0025,9,0.0158,0.4839,9,0.0037,0.0263,4,0.0271,0.0022,5,0.0063,0.0002,5,0.0001,0.4839,9,0.0
1366,0.0216,50,True,0.0003,0.0198,32094149,0.0,10,0.0121,0.5474,8,0.0015,0.0414,5,0.0315,0.0006,5,0.0061,0.0039,5,0.0,0.5444,8,0.0
1367,0.1604,50,True,0.2213,0.21,31730859,0.2091,10,0.0743,0.0,10,0.0667,0.1923,6,0.1832,0.0657,6,0.1118,0.0089,6,0.05,0.0002,9,0.0
1369,0.1505,50,True,0.1841,0.1838,31730859,0.1572,9,0.1066,0.0027,9,0.0527,0.0599,4,0.0973,0.0058,4,0.0509,0.0063,4,0.0141,0.0195,9,0.0
1371,0.1007,50,True,0.1608,0.1516,31730859,0.1441,9,0.055,0.0498,9,0.0275,0.1709,5,0.1823,0.0968,5,0.1251,0.0108,5,0.0705,0.0491,9,-0.0
1382,0.037,50,True,0.0214,0.047,33382968,0.0209,10,0.047,0.705,5,0.0012,0.0091,3,0.0655,0.0,3,0.0128,0.0077,3,0.0002,0.705,5,0.0
1383,0.0797,50,True,0.1319,0.0898,33382968,0.0786,8,0.0277,0.0156,8,0.0072,0.0118,2,0.0305,0.0014,2,0.0023,0.0135,2,0.0033,0.0137,8,-0.0
1384,0.0347,50,True,0.0054,0.0253,33382968,0.0012,6,0.017,0.2495,6,0.0002,0.0418,4,0.0605,0.0069,3,0.0237,0.0001,3,0.0059,0.2441,6,0.0
1385,0.2099,50,True,0.1322,0.1777,33382968,0.029,9,0.0318,0.0039,9,0.0118,0.0006,6,0.0378,0.0067,6,0.011,0.0154,6,0.001,0.0067,9,0.0
1386,0.1181,50,True,0.0917,0.1123,33382968,0.0222,8,0.0311,0.0,7,0.0073,0.1424,6,0.0737,0.083,6,0.0416,0.0448,6,0.0223,0.0,8,0.0
1389,0.4809,50,True,0.3708,0.4618,30556811,0.001,5,0.0005,0.0015,5,0.0014,0.003,3,0.0005,0.0066,3,0.0487,0.0234,3,0.1225,0.0083,5,-0.0
1392,0.5872,50,True,0.4256,0.5549,31048321,0.0005,7,0.0098,0.0042,7,0.0,0.0006,5,0.0072,0.0111,4,0.0047,0.0364,4,0.0315,0.0013,5,0.0
1393,0.5094,50,True,0.3643,0.4942,31048321,0.0282,7,0.0192,0.0454,7,0.0001,0.004,6,0.0092,0.0449,6,0.0017,0.084,6,0.0204,0.0199,6,0.0
1396,0.4177,50,True,0.2301,0.4021,33189395,0.005,9,0.0221,0.0082,9,0.0013,0.0016,6,0.0154,0.0144,5,0.0012,0.0311,5,0.0013,0.0086,7,0.0
1397,0.4568,50,True,0.3161,0.4475,33189395,0.0113,8,0.0263,0.0168,8,0.0057,0.0298,6,0.0348,0.0059,6,0.0128,0.0032,6,0.0031,0.0375,7,0.0
141,0.2627,50,True,0.1202,0.2274,27869803,0.0674,7,0.0152,0.0937,7,0.0,0.0531,7,0.0284,0.0033,7,0.0059,0.0054,7,0.0,0.0247,7,0.0
142,0.3308,50,True,0.1384,0.2782,27869803,0.0737,9,0.0147,0.089,9,0.0001,0.0275,9,0.0208,0.0,9,0.0027,0.0162,8,0.0004,0.0286,9,0.0
1425,0.0737,50,True,0.0436,0.0437,33144569,0.0243,9,0.0002,0.0261,9,0.0022,0.0044,4,0.0208,0.0345,4,0.0737,0.0755,4,0.1226,0.0245,9,-0.0
1429,0.2874,50,True,0.2103,0.2444,33122441,0.0699,9,0.078,0.001,9,0.0215,0.0149,3,0.0025,0.0736,3,0.0483,0.1305,3,0.1254,0.0,9,-0.0
143,0.2017,50,True,0.077,0.1735,27869803,0.0192,8,0.0037,0.0545,8,0.0004,0.0127,8,0.011,0.0015,8,0.0,0.0197,7,0.0073,0.0104,8,0.0
1430,0.7641,50,True,0.775,0.7472,33122441,0.0006,5,0.0028,0.0001,4,0.0091,0.0642,4,0.0902,0.007,3,0.0148,0.0071,3,0.0033,0.0022,1,0.0
1431,0.6162,50,True,0.5695,0.6456,33147445,0.0089,6,0.0346,0.0024,6,0.0077,0.0017,3,0.0023,0.0124,2,0.0284,0.0241,2,0.0975,0.0158,4,0.0
1433,0.5871,50,True,0.4965,0.6248,33147445,0.0175,7,0.0383,0.0084,7,0.0225,0.003,3,0.0156,0.0104,2,0.0019,0.0274,2,0.0291,0.0151,4,0.0
1434,0.642,50,True,0.4631,0.5804,32690708,0.0016,6,0.0009,0.0005,5,0.0002,0.0044,4,0.0163,0.001,4,0.0001,0.0147,3,0.0118,0.0236,2,-0.0
1441,0.2312,50,True,0.1125,0.1952,32416067,0.0138,10,0.0143,0.0332,9,0.0014,0.082,8,0.049,0.0315,8,0.018,0.0134,8,0.0047,0.0055,9,0.0
1442,0.3468,50,True,0.1464,0.2926,32416067,0.0014,9,0.0068,0.0066,9,0.002,0.1866,8,0.0648,0.0999,8,0.0287,0.0653,8,0.0113,0.0114,8,-0.0
1443,0.2661,50,True,0.1516,0.2207,32416067,0.0035,9,0.003,0.0043,9,0.0004,0.0827,8,0.0289,0.0321,8,0.0075,0.009,8,0.0007,0.0014,8,0.0
1444,0.1012,50,True,0.0137,0.081,32416067,0.0084,9,0.0113,0.0456,9,0.0005,0.1482,8,0.066,0.0757,8,0.0321,0.031,8,0.0137,0.0221,9,-0.0
1445,0.308,50,True,0.2618,0.3297,32416067,0.0024,7,0.0399,0.0012,7,0.0116,0.0264,4,0.0116,0.0008,4,0.0037,0.0046,4,0.0297,0.0106,7,0.0
1446,0.0922,50,True,0.0732,0.0954,32416067,0.0005,6,0.0021,0.0193,6,0.004,0.0002,2,0.0111,0.0069,2,0.0004,0.023,2,0.0114,0.0025,7,0.0
1447,0.236,50,True,0.1441,0.2197,32416067,0.0716,7,0.0741,0.0039,7,0.0423,0.0235,1,0.0463,0.0,1,0.0072,0.0093,2,0.0002,0.009,7,-0.0
1448,0.1824,50,True,0.1241,0.1893,32416067,0.0723,9,0.0346,0.0039,8,0.0185,0.0148,5,0.0272,0.0041,5,0.0015,0.0219,5,0.0033,0.0166,8,0.0
1449,0.6811,50,True,0.4623,0.5985,31040274,0.0013,5,0.0168,0.0129,5,0.017,0.0094,2,0.0059,0.0056,1,0.014,0.0296,1,0.0673,0.0167,4,-0.0
1451,0.0639,50,True,0.0523,0.0808,32585766,0.0415,8,0.0517,0.1968,8,0.0094,0.0011,3,0.0156,0.0071,3,0.001,0.0264,3,0.02,0.1821,8,-0.0
1452,0.0952,50,True,0.0549,0.113,32585766,0.0375,8,0.0643,0.1266,8,0.0234,0.0439,2,0.0281,0.0112,2,0.0023,0.0003,2,0.0345,0.1038,8,0.0
1454,0.6825,50,True,0.4341,0.6293,33110234,0.0014,6,0.0064,0.0026,6,0.0003,0.002,2,0.0105,0.0021,3,0.0014,0.0133,2,0.0294,0.0005,5,0.0
1455,0.7537,50,True,0.4838,0.7342,33257658,0.0059,8,0.0272,0.0217,7,0.0027,0.0008,3,0.0308,0.0082,2,0.0012,0.0294,2,0.0066,0.031,5,0.0
1456,0.1439,50,True,0.0616,0.1285,33257658,0.0087,10,0.0405,0.0237,9,0.018,0.0176,7,0.0197,0.0004,7,0.0009,0.0069,7,0.003,0.0264,9,0.0
1458,0.1958,50,True,0.0293,0.1553,33228647,0.0848,9,0.0292,0.1323,9,0.0032,0.1695,8,0.0612,0.0655,8,0.0269,0.0208,8,0.0095,0.0325,8,0.0
1459,0.208,50,True,0.0416,0.1711,33228647,0.0745,9,0.0317,0.1145,9,0.0057,0.1827,8,0.0691,0.0899,8,0.0323,0.027,8,0.0126,0.0332,9,0.0
1479,0.2027,50,True,0.11,0.1718,33172989,0.0115,6,0.0162,0.0054,6,0.0242,0.0063,2,0.0171,0.0018,1,0.0045,0.0251,0,0.0441,0.0055,6,0.0
1480,0.0844,50,True,0.0394,0.0519,33172989,0.0007,8,0.0098,0.0073,8,0.0233,0.0008,4,0.002,0.0254,4,0.0232,0.0572,4,0.0815,0.0013,8,0.0
149,0.2838,50,True,0.1476,0.2487,26472758,0.0212,10,0.0358,0.0502,10,0.0083,0.1843,9,0.0747,0.122,9,0.0432,0.0734,9,0.0244,0.0142,10,0.0
150,0.3383,50,True,0.1499,0.2862,26472758,0.017,10,0.028,0.0406,10,0.0081,0.0832,9,0.0513,0.0404,9,0.0261,0.0193,9,0.0122,0.018,9,0.0
