screen_id,gate_r2_logsize,n_sets_used,has_scores,before_rho2,before_r2_linear,source_id,C1_hypergeom_rho2,C1_hypergeom_top10,C1_hypergeom_r2_linear,C2_perm_z_rho2,C2_perm_z_top10,C2_perm_z_r2_linear,C3_camera_rho0_rho2,C3_camera_rho0_top10,C3_camera_rho0_r2_linear,C4_vif_rho01_rho2,C4_vif_rho01_top10,C4_vif_rho01_r2_linear,C4_vif_rho05_rho2,C4_vif_rho05_top10,C4_vif_rho05_r2_linear,C5_residual_rho2,C5_residual_top10,C5_residual_r2_linear
2423,0.1555,50,True,0.0927,0.1523,35113687,0.0347,8,0.0704,0.001,8,0.0409,0.0433,5,0.0607,0.0052,5,0.0166,0.0002,5,0.0008,0.0039,8,0.0
2424,0.2138,50,True,0.1844,0.2211,35113687,0.0204,8,0.0391,0.001,8,0.0206,0.0066,5,0.0009,0.0437,3,0.0201,0.0771,3,0.0731,0.002,7,0.0
2425,0.2229,50,True,0.2103,0.227,35113687,0.0567,8,0.0513,0.0157,8,0.03,0.076,5,0.0808,0.0135,3,0.0139,0.0002,2,0.0003,0.0017,7,0.0
2426,0.2777,50,True,0.3079,0.2952,35113687,0.0569,7,0.041,0.0396,7,0.0209,0.0746,2,0.0667,0.006,2,0.0026,0.0005,2,0.0117,0.0015,6,-0.0
2427,0.4835,50,True,0.4474,0.4753,35113687,0.1045,9,0.0821,0.0646,9,0.0685,0.0,3,0.0008,0.024,3,0.0369,0.058,2,0.118,0.0004,7,-0.0
2428,0.0387,50,True,0.0297,0.0449,40372436,0.0257,10,0.0251,0.4766,7,0.0164,0.0046,2,0.0002,0.0248,2,0.0346,0.0483,2,0.0896,0.4766,7,0.0
243,0.2328,50,True,0.1093,0.1997,29083409,0.0974,9,0.0331,0.1109,9,0.0035,0.1143,9,0.0619,0.0539,9,0.0341,0.0214,9,0.0176,0.0287,9,0.0
2430,0.0011,50,True,0.0065,0.0001,40372436,0.0048,10,0.0054,0.5306,7,0.026,0.0026,3,0.0016,0.0028,2,0.0115,0.0194,2,0.0434,0.526,7,0.0
2431,0.0823,50,True,0.079,0.0668,40372436,0.0151,9,0.0396,0.0027,9,0.0095,0.0029,2,0.0214,0.0345,2,0.0864,0.0761,2,0.1479,0.0013,9,0.0
2432,0.1542,50,True,0.2013,0.1529,40372436,0.1172,8,0.0118,0.0091,8,0.0057,0.0023,6,0.0097,0.0292,5,0.0523,0.0586,4,0.0954,0.0017,8,0.0
2433,0.0198,50,True,0.0126,0.0122,40372436,0.007,10,0.0028,0.482,7,0.0217,0.0356,1,0.0032,0.0001,1,0.0283,0.0148,0,0.089,0.482,7,0.0
2435,0.2854,50,True,0.1467,0.2153,40372436,0.0082,7,0.0002,0.0004,7,0.0022,0.0347,7,0.0184,0.0035,7,0.0005,0.0,7,0.0031,0.0008,7,0.0
2436,0.1556,50,True,0.112,0.1459,40372436,0.0295,8,0.0381,0.0,8,0.0155,0.0791,8,0.0571,0.0228,7,0.0212,0.0056,7,0.0047,0.0004,8,0.0
2437,0.2751,50,True,0.1441,0.2476,40372436,0.0758,8,0.0009,0.1061,7,0.0364,0.1108,3,0.0481,0.0605,3,0.0114,0.027,3,0.0006,0.0098,8,0.0
2438,0.0812,50,True,0.0795,0.0808,40372436,0.0001,7,0.0,0.0065,7,0.0048,0.0035,4,0.0,0.0309,5,0.0334,0.0651,5,0.0937,0.0013,7,0.0
2439,0.0745,50,True,0.045,0.0842,40372436,0.0014,9,0.0063,0.0276,8,0.0006,0.0085,5,0.0003,0.0342,5,0.0272,0.0622,4,0.0707,0.0174,9,0.0
244,0.2197,50,True,0.1219,0.1866,29083409,0.0333,9,0.0276,0.0725,9,0.0032,0.0509,9,0.0507,0.014,9,0.0275,0.0002,9,0.0134,0.0104,9,-0.0
2440,0.7797,50,True,0.5506,0.6998,30532030,0.0036,6,0.02,0.0003,6,0.0222,0.0104,4,0.015,0.0007,3,0.0007,0.0118,3,0.0196,0.0473,4,0.0
2441,0.4086,50,True,0.2508,0.393,30532030,0.011,7,0.0032,0.0276,7,0.0008,0.1259,3,0.0679,0.0445,3,0.02,0.0089,3,0.0018,0.0197,6,0.0
2442,0.3074,50,True,0.224,0.3183,30532030,0.002,7,0.009,0.0128,7,0.0,0.0196,6,0.0005,0.0473,6,0.0131,0.0745,5,0.0476,0.0014,7,0.0
2445,0.0,50,True,0.0018,0.0008,34644148,0.0011,5,0.0023,0.2364,5,0.0332,0.003,4,0.0073,0.0106,4,0.0042,0.0405,4,0.03,0.2298,5,0.0
2449,0.0705,50,True,0.0385,0.0728,40632661,0.0072,5,0.0082,0.1089,5,0.0154,0.0336,2,0.04,0.012,1,0.0026,0.0027,1,0.0048,0.1089,5,0.0
245,0.2138,50,True,0.0758,0.1754,29083409,0.0726,9,0.0284,0.1182,9,0.0008,0.1715,9,0.0699,0.0837,9,0.0398,0.0352,9,0.0214,0.0219,9,0.0
2455,0.0685,50,True,0.044,0.0579,36801923,0.0226,8,0.0384,0.1758,8,0.0179,0.0032,1,0.0485,0.0064,1,0.014,0.0251,1,0.0011,0.1758,8,0.0
2456,0.3239,50,True,0.2381,0.2956,36725843,0.0579,7,0.025,0.0,7,0.0003,0.0004,2,0.002,0.0129,2,0.0222,0.0436,3,0.0783,0.0035,7,0.0
2459,0.0676,50,True,0.0184,0.058,36652375,0.0215,7,0.0033,0.0826,7,0.0022,0.0015,2,0.002,0.0047,2,0.0052,0.023,2,0.0223,0.014,8,0.0
246,0.2302,50,True,0.0745,0.1817,29083409,0.0431,9,0.0315,0.1014,9,0.002,0.1952,9,0.0774,0.1022,9,0.047,0.0524,9,0.0275,0.0224,9,-0.0
2460,0.2136,50,True,0.1606,0.2347,36652375,0.0044,8,0.0044,0.0025,8,0.0003,0.003,1,0.0,0.0091,1,0.0114,0.0249,1,0.0339,0.0028,7,0.0
2462,0.334,50,True,0.1869,0.294,36652375,0.0186,9,0.0399,0.0631,9,0.0071,0.007,8,0.0282,0.0062,8,0.0022,0.0288,7,0.0029,0.0262,9,0.0
2465,0.0023,50,True,0.0026,0.0011,36971544,0.0057,10,0.0188,0.6672,7,0.0568,0.0766,3,0.0462,0.0258,3,0.0104,0.0043,3,0.0002,0.5761,6,0.0
2466,0.1244,50,True,0.0523,0.1226,36971544,0.0215,6,0.0417,0.0857,6,0.0214,0.0021,4,0.0147,0.0054,4,0.0001,0.0289,4,0.0054,0.0857,6,0.0
2467,0.0137,50,True,0.0002,0.0118,36693839,0.0,10,0.0025,0.5979,7,0.0042,0.1058,4,0.1065,0.048,3,0.0372,0.0141,3,0.007,0.5948,7,0.0
2468,0.0047,50,True,0.0002,0.0037,36693839,0.0,10,0.0,0.683,6,0.0131,0.0081,2,0.0177,0.0016,2,0.0,0.0142,1,0.0117,0.683,6,0.0
247,0.1789,50,True,0.0822,0.1466,29083409,0.0908,10,0.0282,0.1122,10,0.0015,0.1211,9,0.0575,0.0438,9,0.0325,0.0145,9,0.0172,0.0209,10,0.0
2478,0.6877,50,True,0.5425,0.6787,36920967,0.0287,9,0.05,0.0071,8,0.0197,0.0032,3,0.0001,0.0376,2,0.0339,0.0602,2,0.0912,0.0095,5,0.0
248,0.2643,50,True,0.1219,0.2263,29083409,0.0963,9,0.0305,0.1099,9,0.0026,0.1501,9,0.0703,0.0646,9,0.0411,0.0246,9,0.0229,0.0247,9,0.0
249,0.2459,50,True,0.1427,0.2118,29083409,0.0437,9,0.0309,0.0805,9,0.0039,0.1242,9,0.0697,0.0539,9,0.0448,0.0215,9,0.028,0.0107,9,0.0
250,0.2535,50,True,0.1049,0.2047,29083409,0.0443,9,0.0282,0.0797,9,0.0029,0.1134,9,0.07,0.0492,9,0.0393,0.0129,9,0.0204,0.0153,8,0.0
251,0.2518,50,True,0.1395,0.2172,29083409,0.0825,9,0.025,0.1199,9,0.001,0.1765,9,0.071,0.0965,9,0.0421,0.0496,9,0.0239,0.0253,9,0.0
252,0.2666,50,True,0.1395,0.225,29083409,0.0252,9,0.0318,0.0787,9,0.0048,0.0925,9,0.0661,0.0321,9,0.0385,0.011,9,0.0213,0.0132,9,0.0
253,0.2337,50,True,0.1039,0.1998,29083409,0.0546,9,0.0277,0.091,9,0.001,0.1315,9,0.0682,0.0692,9,0.0402,0.0294,9,0.0229,0.0267,8,-0.0
254,0.2642,50,True,0.1476,0.2347,29083409,0.0315,10,0.0278,0.0642,10,0.0056,0.1215,9,0.0634,0.0745,9,0.0382,0.0399,9,0.0224,0.0159,9,-0.0
255,0.2599,50,True,0.1239,0.2267,29083409,0.0423,9,0.0277,0.0729,9,0.0028,0.1402,9,0.0677,0.066,9,0.0382,0.0221,9,0.0202,0.0157,9,-0.0
256,0.2104,50,True,0.0905,0.1723,29083409,0.0571,9,0.0248,0.0979,9,0.0012,0.1579,9,0.0682,0.0843,9,0.0397,0.046,9,0.0224,0.015,9,0.0
257,0.2549,50,True,0.1529,0.2294,29083409,0.0322,9,0.027,0.0867,9,0.0027,0.1711,9,0.0713,0.0948,9,0.0448,0.0435,9,0.0276,0.0202,8,0.0
258,0.2521,50,True,0.1213,0.2168,29083409,0.0716,9,0.0293,0.1125,9,0.002,0.1314,9,0.0624,0.0465,9,0.0337,0.0167,9,0.0166,0.0204,8,-0.0
259,0.2434,50,True,0.1016,0.201,29083409,0.0878,9,0.0329,0.1091,9,0.0021,0.1375,9,0.066,0.0542,9,0.0377,0.0157,9,0.0201,0.0164,9,0.0
260,0.2034,50,True,0.0959,0.1686,29083409,0.1074,9,0.0283,0.1204,9,0.0009,0.1496,9,0.0679,0.0736,9,0.0387,0.0286,9,0.0206,0.0151,9,0.0
