rule,program,n_present,n_finite,hits
R4,HALLMARK_SPERMATOGENESIS,56,9837,1068
R4,HALLMARK_TGF_BETA_SIGNALING,36,9837,1091
R4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,78,9837,3361
R4,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,94,9837,1845
R4,HALLMARK_UV_RESPONSE_DN,68,9837,1009
R4,HALLMARK_UV_RESPONSE_UP,104,9837,796
R4,HALLMARK_WNT_BETA_CATENIN_SIGNALING,20,9837,475
R4,HALLMARK_XENOBIOTIC_METABOLISM,85,9837,838
R5,HALLMARK_ADIPOGENESIS,147,9837,197
R5,HALLMARK_ALLOGRAFT_REJECTION,59,9837,197
R5,HALLMARK_ANDROGEN_RESPONSE,64,9837,197
R5,HALLMARK_ANGIOGENESIS,11,9837,197
R5,HALLMARK_APICAL_JUNCTION,82,9837,197
R5,HALLMARK_APICAL_SURFACE,12,9837,197
R5,HALLMARK_APOPTOSIS,85,9837,197
R5,HALLMARK_BILE_ACID_METABOLISM,42,9837,197
R5,HALLMARK_CHOLESTEROL_HOMEOSTASIS,52,9837,197
R5,HALLMARK_COAGULATION,34,9837,197
R5,HALLMARK_COMPLEMENT,80,9837,197
R5,HALLMARK_DNA_REPAIR,131,9837,197
R5,HALLMARK_E2F_TARGETS,190,9837,197
R5,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,45,9837,197
R5,HALLMARK_ESTROGEN_RESPONSE_EARLY,76,9837,197
R5,HALLMARK_ESTROGEN_RESPONSE_LATE,76,9837,197
R5,HALLMARK_FATTY_ACID_METABOLISM,105,9837,197
R5,HALLMARK_G2M_CHECKPOINT,182,9837,197
R5,HALLMARK_GLYCOLYSIS,117,9837,197
R5,HALLMARK_HEDGEHOG_SIGNALING,10,9837,197
R5,HALLMARK_HEME_METABOLISM,133,9837,197
R5,HALLMARK_HYPOXIA,88,9837,197
R5,HALLMARK_IL2_STAT5_SIGNALING,89,9837,197
R5,HALLMARK_IL6_JAK_STAT3_SIGNALING,32,9837,197
R5,HALLMARK_INFLAMMATORY_RESPONSE,51,9837,197
R5,HALLMARK_INTERFERON_ALPHA_RESPONSE,40,9837,197
R5,HALLMARK_INTERFERON_GAMMA_RESPONSE,74,9837,197
R5,HALLMARK_KRAS_SIGNALING_DN,26,9837,197
R5,HALLMARK_KRAS_SIGNALING_UP,52,9837,197
R5,HALLMARK_MITOTIC_SPINDLE,158,9837,197
R5,HALLMARK_MTORC1_SIGNALING,176,9837,197
R5,HALLMARK_MYC_TARGETS_V1,194,9837,197
R5,HALLMARK_MYC_TARGETS_V2,55,9837,197
R5,HALLMARK_MYOGENESIS,54,9837,197
R5,HALLMARK_NOTCH_SIGNALING,14,9837,197
R5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,9837,197
R5,HALLMARK_P53_PATHWAY,119,9837,197
R5,HALLMARK_PEROXISOME,66,9837,197
R5,HALLMARK_PI3K_AKT_MTOR_SIGNALING,76,9837,197
R5,HALLMARK_PROTEIN_SECRETION,84,9837,197
R5,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,41,9837,197
