perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
3038_FBXW7_ENST00000281708.4_ENSG00000109670,FBXW7,-4.305517390424522,-0.03401427725232276,-0.0590395631148196,11124.0,10461.0,10892.0,10825.666666666666
3662_HDAC1_P1P2_ENSG00000116478,HDAC1,-3.6093433592921706,-0.04075488467485776,-0.04620683639279378,10983.0,10801.0,10695.0,10826.333333333334
10147_ZMYM5_P1P2_ENSG00000132950,ZMYM5,-3.515164730709983,-0.047857305370256294,-0.039991665306908515,10960.0,10976.0,10544.0,10826.666666666666
9296_TRIP13_P1P2_ENSG00000071539,TRIP13,-2.9306438252661122,-0.04730107657309363,-0.047161234756662104,10795.0,10966.0,10719.0,10826.666666666666
6612_PPCDC_P1_ENSG00000138621,PPCDC,-3.4781242527192218,-0.053999408598786866,-0.037785356443355005,10949.0,11056.0,10483.0,10829.333333333334
8003_SLC25A38_P1P2_ENSG00000144659,SLC25A38,-3.2099605398208086,-0.05162976278337229,-0.04034672908019095,10892.0,11036.0,10560.0,10829.333333333334
3057_FEN1_P1P2_ENSG00000168496,FEN1,-4.240306691114957,-0.046643611260371545,-0.035854429656510096,11115.0,10958.0,10416.0,10829.666666666666
1484_CENPK_P1P2_ENSG00000123219,CENPK,-2.480894096844927,-0.04406089518173839,-0.08188287712422786,10537.0,10888.0,11067.0,10830.666666666666
7396_RNF7_P1P2_ENSG00000114125,RNF7,-3.5293032096906836,-0.049730519596945,-0.03959218925499444,10966.0,11015.0,10533.0,10838.0
3167_FOXK1_P1P2_ENSG00000164916,FOXK1,-3.393176531901293,-0.0428185447672922,-0.047381245071117635,10930.0,10861.0,10725.0,10838.666666666666
2947_FAM83H_P1P2_ENSG00000180921,FAM83H,-3.2291234369516757,-0.04548945642831864,-0.04632749950169665,10899.0,10929.0,10697.0,10841.666666666666
10955_non-targeting_non-targeting_non-targeting,,-3.7357133181155406,-0.03595040694294879,-0.060750891439979006,11030.0,10595.0,10905.0,10843.333333333334
7793_SERBP1_P1P2_ENSG00000142864,SERBP1,-3.066670199482946,-0.04225665573206818,-0.05621018999557052,10843.0,10844.0,10846.0,10844.333333333334
4897_MCM10_P1P2_ENSG00000065328,MCM10,-3.7968826879204727,-0.03516052007080727,-0.06604746136717923,11041.0,10541.0,10960.0,10847.333333333334
8432_SRSF2_P1P2_ENSG00000161547,SRSF2,-2.891669492354457,-0.044296988428791866,-0.05742151602718737,10779.0,10895.0,10868.0,10847.333333333334
1583_CHMP3_P1P2_ENSG00000115561,CHMP3,-2.0981035419624865,-0.06855163106221816,-0.17541719501857797,10181.0,11146.0,11218.0,10848.333333333334
7252_RFK_P1P2_ENSG00000135002,RFK,-2.758113447107012,-0.038863494378059714,-0.09468735918605307,10718.0,10726.0,11104.0,10849.333333333334
7036_RAB5C_P1_ENSG00000108774,RAB5C,-3.1913234538917035,-0.05868298000354161,-0.040454042693398154,10887.0,11096.0,10566.0,10849.666666666666
8221_SNRNP48_P1P2_ENSG00000168566,SNRNP48,-3.051574521156844,-0.039941943796042365,-0.06462578260538629,10838.0,10772.0,10945.0,10851.666666666666
8271_SON_P1_ENSG00000159140,SON,-3.387161893030769,-0.04475800808806126,-0.047124781569117986,10929.0,10915.0,10717.0,10853.666666666666
7248_RFC4_P1P2_ENSG00000163918,RFC4,-3.594679069109709,-0.03848652754337342,-0.058118131262556424,10980.0,10705.0,10878.0,10854.333333333334
1564_CHD8_P2_ENSG00000100888,CHD8,-3.0554304699697625,-0.046870854335714064,-0.0491190709604859,10840.0,10959.0,10765.0,10854.666666666666
1682_CLTB_P1P2_ENSG00000175416,CLTB,-3.930789273969092,-0.04524880172371661,-0.041031061203735335,11064.0,10922.0,10578.0,10854.666666666666
1595_CHPT1_P1P2_ENSG00000111666,CHPT1,-3.7233275431407122,-0.04823859250323511,-0.040448367009173244,11023.0,10984.0,10564.0,10857.0
9116_TMX1_P1P2_ENSG00000139921,TMX1,-3.5694985548920144,-0.044440914611535744,-0.047201413465529314,10974.0,10903.0,10720.0,10865.666666666666
10802_non-targeting_non-targeting_non-targeting,,-3.8571172822556066,-0.04489590854590828,-0.04278661339247553,11048.0,10917.0,10633.0,10866.0
10286_ZNF324B_P1P2_ENSG00000249471,ZNF324B,-3.652904139567779,-0.04890118959968267,-0.042001504468254944,10998.0,10994.0,10607.0,10866.333333333334
9297_TRIP4_P1P2_ENSG00000103671,TRIP4,-3.516527181912242,-0.04377924037194774,-0.0488790642073745,10963.0,10880.0,10758.0,10867.0
8356_SPICE1_P1P2_ENSG00000163611,SPICE1,-3.408892444487279,-0.04782842354301184,-0.04623020796205069,10934.0,10975.0,10696.0,10868.333333333334
4174_IQGAP3_P1P2_ENSG00000183856,IQGAP3,-3.134769537968901,-0.038891568005343435,-0.07383612551331263,10867.0,10727.0,11012.0,10868.666666666666
1319_CCNC_P1P2_ENSG00000112237,CCNC,-3.152238154560758,-0.04993814011625437,-0.04728328284017456,10873.0,11020.0,10722.0,10871.666666666666
2199_DHRS7B_P1P2_ENSG00000109016,DHRS7B,-3.344568207471777,-0.04257741222079874,-0.05536890154896494,10921.0,10854.0,10841.0,10872.0
8709_TBC1D15_P1P2_ENSG00000121749,TBC1D15,-3.5661099938139955,-0.04206811427560894,-0.052793108868474145,10972.0,10836.0,10808.0,10872.0
2229_DIRAS1_P1P2_ENSG00000176490,DIRAS1,-3.770708974766118,-0.048856850868216936,-0.04159496136789523,11035.0,10990.0,10592.0,10872.333333333334
8867_TGM2_P1P2_ENSG00000198959,TGM2,-3.5604429175283427,-0.05106784254410089,-0.04258827572551286,10971.0,11029.0,10628.0,10876.0
6263_PGPEP1_P1P2_ENSG00000130517,PGPEP1,-3.480928579128617,-0.03980690694975453,-0.06190429637736325,10950.0,10765.0,10914.0,10876.333333333334
5_AAGAB_P1P2_ENSG00000103591,AAGAB,-3.5121851339000005,-0.04034771745885969,-0.05874891052311071,10958.0,10787.0,10888.0,10877.666666666666
786_BCAS2_P1P2_ENSG00000116752,BCAS2,-2.708804041075147,-0.04431648142158998,-0.07775691552530142,10693.0,10896.0,11047.0,10878.666666666666
10588_ZNF71_P1P2_ENSG00000197951,ZNF71,-3.6005214157959484,-0.052015319883101915,-0.04216133229965706,10981.0,11038.0,10617.0,10878.666666666666
1716_CNOT1_P1P2_ENSG00000125107,CNOT1,-2.557856768778398,-0.05607150586750625,-0.06741090564863063,10596.0,11070.0,10972.0,10879.333333333334
