target,u_z,cosine,delta,avg_rank,rpe1_u_z,rpe1_rank,rpe1_covered,depmap_chronos,depmap_n_lines,essential,depmap_covered,tier
HMBOX1,3.293928629954028,0.0080864337344296,0.0743520868720751,1099.3333333333333,0.696402160516094,1589.0,True,0.14283428850617128,1178.0,False,True,T1_reversal_not_explained_by_fitness
ACAD9,1.9159146832800096,0.0369741703173454,0.0210962480741238,1101.3333333333333,,,False,-0.28438819501834445,1178.0,False,True,T1_reversal_not_explained_by_fitness
API5,2.7337508380500206,0.0173479096766626,0.0230353400665003,1103.0,,,False,-0.1699648961629929,1178.0,False,True,T1_reversal_not_explained_by_fitness
C5orf30,2.451767850871626,0.0317726552014093,0.0165882006339329,1103.0,3.8289312904275006,115.0,True,,,False,False,T3_no_fitness_data
PEX13,1.857319357230357,0.0350998829814023,0.0222603459899792,1103.3333333333333,,,False,-0.1248963754974859,1178.0,False,True,T1_reversal_not_explained_by_fitness
FNIP1,2.0457392718509864,0.025652003991584,0.0233873233802835,1104.0,,,False,-0.011545586254761207,1178.0,False,True,T1_reversal_not_explained_by_fitness
PHF13,2.5092750508285984,0.026049420946445,0.0181844670265782,1104.3333333333333,,,False,-0.06726471330939726,1178.0,False,True,T1_reversal_not_explained_by_fitness
C17orf80,2.494808092561612,0.01845882079496,0.0240392516636879,1104.3333333333333,,,False,,,False,False,T3_no_fitness_data
GTF3C6,2.429723907562626,0.0197664925488781,0.0230839537949195,1104.6666666666667,0.2903343106852237,1777.0,True,-0.10710986807824964,1178.0,False,True,T1_reversal_not_explained_by_fitness
SARNP,2.406971256497096,0.0206616454009646,0.0223781415807814,1108.3333333333333,0.718572416631823,1577.0,True,-0.434156225865367,1178.0,False,True,T1_reversal_not_explained_by_fitness
JPT1,2.4434904442177716,0.0222898657487302,0.0206789063313149,1108.6666666666667,,,False,-0.17251003796189307,1178.0,False,True,T1_reversal_not_explained_by_fitness
ZNF484,2.4441003583922662,0.0220383628771544,0.0207634631263293,1109.3333333333333,,,False,-0.0879591001866375,1178.0,False,True,T1_reversal_not_explained_by_fitness
GATAD2B,2.7821113251392617,0.0237553398060978,0.0172920507294558,1110.0,,,False,-0.1775889399293419,1178.0,False,True,T1_reversal_not_explained_by_fitness
SCO1,2.2331571846135176,0.0386732241814259,0.0167563416984597,1110.3333333333333,,,False,-0.1754887626622345,1178.0,False,True,T1_reversal_not_explained_by_fitness
EAF2,2.6857810869122978,0.0182942655587518,0.0220491328753052,1110.6666666666667,,,False,-0.008341560051078152,1178.0,False,True,T1_reversal_not_explained_by_fitness
DCPS,1.8397625420645505,0.0263207181646339,0.0269020652849899,1112.6666666666667,,,False,-0.08007731558882511,1178.0,False,True,T1_reversal_not_explained_by_fitness
NAA15,4.061679879748097,0.0082120582602261,0.0494494228732997,1115.0,0.32370975039735,1761.0,True,-1.2085673437254036,1178.0,True,True,T2_reversal_confounded_by_essentiality
IGF1R,2.7948881393229734,0.0150465875315409,0.0261288799010573,1115.6666666666667,,,False,-0.3148926386273004,1178.0,False,True,T1_reversal_not_explained_by_fitness
OSBPL5,2.980519874860199,0.0195256496107608,0.0185337978361501,1116.0,,,False,0.04682061673680595,1178.0,False,True,T1_reversal_not_explained_by_fitness
RBM14-RBM4,3.489798210563126,0.0074367009358173,0.0766694858838556,1116.3333333333333,0.8884910221686197,1477.0,True,,,False,False,T3_no_fitness_data
ASXL2,2.3365812024885173,0.032038950378804,0.0169678566312713,1116.3333333333333,,,False,,,False,False,T3_no_fitness_data
HIST1H2BD,2.3059547978692567,0.0228030805254414,0.0214557389394938,1117.0,,,False,,,False,False,T3_no_fitness_data
PHF23,1.9316853212205105,0.044458284582481,0.0192945951244641,1117.6666666666667,,,False,-0.1717342701389039,1178.0,False,True,T1_reversal_not_explained_by_fitness
GTF2H2C,2.045826402447343,0.0244596862237058,0.0236290117921664,1119.0,1.5520780021524074,1105.0,True,,,False,False,T3_no_fitness_data
UGDH,2.490976619231988,0.0136551563193505,0.0375814680351742,1119.6666666666667,,,False,-0.07054462248479522,1178.0,False,True,T1_reversal_not_explained_by_fitness
UBAP1,2.07797759250284,0.0243702051198162,0.023132082520708,1119.6666666666667,0.313705122186281,1770.0,True,-0.8449166235639342,1178.0,True,True,T2_reversal_confounded_by_essentiality
HACL1,2.325646312645794,0.0221953217956793,0.0217420477382501,1120.0,,,False,0.01305218531866968,1178.0,False,True,T1_reversal_not_explained_by_fitness
PPT1,2.2308046585118957,0.0174164261468132,0.0293715923947937,1122.0,,,False,-0.03772860387428678,1178.0,False,True,T1_reversal_not_explained_by_fitness
CRAT,2.4220127522159287,0.0185057943682409,0.0241929955125535,1124.0,,,False,0.023209906406491485,1178.0,False,True,T1_reversal_not_explained_by_fitness
NME3,2.4699345802119272,0.018898720278578,0.0228149823511517,1124.0,,,False,0.06608614302801324,1178.0,False,True,T1_reversal_not_explained_by_fitness
ZNF45,1.9945936117898029,0.0220425636134366,0.0267727280988511,1124.0,,,False,9.113421896242825e-05,1178.0,False,True,T1_reversal_not_explained_by_fitness
CTPS1,2.0356756879718265,0.0133953290628103,0.0746462714251395,1125.0,0.7558296520898442,1552.0,True,-0.6633393998152743,1178.0,True,True,T2_reversal_confounded_by_essentiality
FDFT1,1.944101431201292,0.02220341216689,0.0280304294142659,1126.6666666666667,,,False,-0.15219180001898344,1178.0,False,True,T1_reversal_not_explained_by_fitness
RBM38,2.568043631709189,0.0198899313803647,0.0205825800362516,1128.3333333333333,,,False,0.023779920354508568,1178.0,False,True,T1_reversal_not_explained_by_fitness
TMCO3,2.5629464918223417,0.0192858184095506,0.0213771577585562,1129.0,,,False,-0.04538306093676732,1178.0,False,True,T1_reversal_not_explained_by_fitness
DNAAF2,2.509579001554071,0.0254120787441954,0.0178247304116444,1130.3333333333333,,,False,-0.0161283409168808,1178.0,False,True,T1_reversal_not_explained_by_fitness
ITGAE,2.647419604989833,0.0178007497069657,0.022165686981482,1131.3333333333333,,,False,0.03127548614528901,1178.0,False,True,T1_reversal_not_explained_by_fitness
INPP1,2.18737005622825,0.0313454723233574,0.0181857152982807,1131.3333333333333,,,False,0.002230943361877197,1178.0,False,True,T1_reversal_not_explained_by_fitness
GNG10,1.893927313459004,0.0251417459330692,0.0257723539508109,1131.6666666666667,,,False,-0.051647590991262815,1178.0,False,True,T1_reversal_not_explained_by_fitness
NSD3,3.0038708746837037,0.0200726415685054,0.017538528163576,1135.6666666666667,,,False,0.10714706390499562,1178.0,False,True,T1_reversal_not_explained_by_fitness
KDM1A,3.0002549549349147,0.0076075127577652,0.1162791956968558,1137.3333333333333,3.9060069461655766,103.0,True,-0.09592283000315834,1178.0,False,True,T1_reversal_not_explained_by_fitness
SP3,2.092982867992014,0.0201771751235407,0.026439505166016,1138.3333333333333,,,False,-0.15101800769979784,1178.0,False,True,T1_reversal_not_explained_by_fitness
TBX18,2.3480388759093787,0.0222217328357548,0.0208494590104426,1139.0,,,False,-0.019737930203727785,1178.0,False,True,T1_reversal_not_explained_by_fitness
CHMP2A,2.1002394598718896,0.0206409783147068,0.0253223562975996,1141.3333333333333,1.537391207938558,1117.0,True,-1.8374987295166605,1178.0,True,True,T2_reversal_confounded_by_essentiality
GAB3,2.398661752392424,0.0197129777716553,0.0222759302374751,1142.3333333333333,,,False,0.07890456635079923,1178.0,False,True,T1_reversal_not_explained_by_fitness
ANK1,2.262738022076502,0.0197671005173392,0.0236705175349623,1142.3333333333333,,,False,-0.0053853650231888775,1178.0,False,True,T1_reversal_not_explained_by_fitness
C21orf58,2.0342380331319467,0.0213682701647142,0.025731808907333,1143.0,,,False,-0.019911850090494683,1178.0,False,True,T1_reversal_not_explained_by_fitness
RPAP2,2.85217650642728,0.0088033570913756,0.0682007768283051,1144.0,1.7964310415795577,953.0,True,-0.9465319581863233,1178.0,True,True,T2_reversal_confounded_by_essentiality
NUCKS1,2.2667460295088944,0.0217682498677084,0.0217962922052173,1144.6666666666667,,,False,-0.03614989298835918,1178.0,False,True,T1_reversal_not_explained_by_fitness
DENR,2.9579094851057235,0.0170363169138216,0.0204676848421769,1145.0,2.179888431653412,741.0,True,-0.7803487296790775,1178.0,True,True,T2_reversal_confounded_by_essentiality
GNS,2.565647540309389,0.0233012033213056,0.0180152391601625,1145.6666666666667,,,False,-0.04226754054124941,1178.0,False,True,T1_reversal_not_explained_by_fitness
BZW1,2.3337494581069356,0.0194303038884895,0.0232411019939759,1146.3333333333333,,,False,-0.06308478898113001,1178.0,False,True,T1_reversal_not_explained_by_fitness
RB1CC1,2.369865090296647,0.0281347480251033,0.0173401592446465,1148.3333333333333,,,False,-0.2170130278540663,1178.0,False,True,T1_reversal_not_explained_by_fitness
ADO,1.8214215515315364,0.034435731665801,0.0214305498455801,1150.6666666666667,,,False,-0.04123418142316793,1178.0,False,True,T1_reversal_not_explained_by_fitness
FAR1,2.6421482039102733,0.0259059419155226,0.0162699746914013,1150.6666666666667,,,False,0.03821181606825743,1178.0,False,True,T1_reversal_not_explained_by_fitness
MYRF,2.288528678597985,0.0181657465001961,0.0253161481693332,1155.6666666666667,,,False,-0.19739467873154917,1178.0,False,True,T1_reversal_not_explained_by_fitness
DPYSL2,2.138987320801784,0.0273529837309703,0.0195924714982983,1155.6666666666667,,,False,0.01436380594065259,1178.0,False,True,T1_reversal_not_explained_by_fitness
NSFL1C,2.245094076314339,0.0235426926239152,0.0204998697446014,1156.3333333333333,,,False,-0.14121222353462032,1178.0,False,True,T1_reversal_not_explained_by_fitness
