perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
7051_RABGGTB_P1P2_ENSG00000137955,RABGGTB,0.3841784717636753,-0.024986081562437274,-0.008813360831296538,5200.0,10048.0,9082.0,8110.0
88_ACOT12_P1P2_ENSG00000172497,ACOT12,-0.6341266706561688,-0.014653670241134828,-0.0037557442047567663,8315.0,8309.0,7709.0,8111.0
8814_TEKT2_P1P2_ENSG00000092850,TEKT2,-0.787625932764296,-0.008833052001652512,-0.006897962518055959,8704.0,6990.0,8639.0,8111.0
5420_N6AMT1_P1P2_ENSG00000156239,N6AMT1,-0.3601543200390158,-0.01673526171049692,-0.004883765239663508,7543.0,8738.0,8068.0,8116.333333333333
5304_MTCH2_P1P2_ENSG00000109919,MTCH2,-0.3859083906061228,-0.02115703674173899,-0.002366860420798266,7618.0,9500.0,7231.0,8116.333333333333
4167_IPPK_P1P2_ENSG00000127080,IPPK,-1.0170754512677953,-0.004938677094618747,-0.00936362714058204,9191.0,5952.0,9210.0,8117.666666666667
4731_LYRM7_P1P2_ENSG00000186687,LYRM7,-0.6228095027552643,-0.0072224538486026935,-0.010773454646252956,8281.0,6561.0,9512.0,8118.0
10542_ZNF674_P1P2_ENSG00000251192,ZNF674,-0.21054097117940693,-0.023319543312509666,-0.0029821631712070723,7067.0,9846.0,7446.0,8119.666666666667
10187_ZNF177_P2_ENSG00000188629,ZNF177,-0.8571472416556957,-0.008715663663927715,-0.006499531761738669,8875.0,6959.0,8525.0,8119.666666666667
2121_DDX42_P1P2_ENSG00000198231,DDX42,-0.48819273138468744,-0.010414671817525666,-0.008844070645830465,7893.0,7382.0,9089.0,8121.333333333333
6992_QTRT1_P1P2_ENSG00000213339,QTRT1,-0.8529214077324122,-0.0038979113314172756,-0.01278559755000204,8859.0,5656.0,9854.0,8123.0
2474_EDC3_P1P2_ENSG00000179151,EDC3,-0.2351070162746109,-0.03246498281713603,-0.000333949961019632,7129.0,10710.0,6533.0,8124.0
3647_HBA2_P2_ENSG00000188536,HBA2,-0.5572001636989249,-0.01669922601360819,-0.003277596998422725,8091.0,8732.0,7549.0,8124.0
10744_ZYX_P1P2_ENSG00000159840,ZYX,-0.6804028269468185,-0.015285267900974078,-0.003085075138327396,8437.0,8456.0,7481.0,8124.666666666667
775_BBC3_P1P2_ENSG00000105327,BBC3,-0.7055400039956286,-0.011094166618071222,-0.005884967457992615,8500.0,7534.0,8340.0,8124.666666666667
8355_SPIB_P1P2_ENSG00000269404,SPIB,-0.2913131043017139,-0.020353581586835673,-0.003677130740357787,7317.0,9373.0,7685.0,8125.0
4207_ISG15_P1P2_ENSG00000187608,ISG15,-0.441185774650431,-0.010053995136314555,-0.009862024520794637,7765.0,7293.0,9322.0,8126.666666666667
4671_LRRC59_P1_ENSG00000108829,LRRC59,-0.22087606176337368,-0.017195266025337063,-0.006317720293494242,7089.0,8826.0,8466.0,8127.0
9330_TRUB2_P1P2_ENSG00000167112,TRUB2,-0.3844201911242622,-0.01617897704848467,-0.005123633921118475,7612.0,8630.0,8139.0,8127.0
