gene,pmid,year,cited_by,hits,title
EEF2,22500797,2012,6836,1278,mTOR signaling in growth control and disease.
EIF2AK3,29362479,2018,5207,2255,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
EIF2S1,29362479,2018,5207,1031,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
EIF4A1,33268902,2021,3413,412,Ferroptosis: molecular mechanisms and health implications.
EIF4A2,32144406,2020,984,333,Cellular adaptation to hypoxia through hypoxia inducible factors and beyond.
EIF4A3,24987004,2014,954,345,Selenoproteins: molecular pathways and physiological roles.
EIF4E,22500797,2012,6836,2984,mTOR signaling in growth control and disease.
EIF4EBP1,22500797,2012,6836,1613,mTOR signaling in growth control and disease.
EIF4G1,20094052,2010,2175,547,The mechanism of eukaryotic translation initiation and principles of its regulation.
ERN1,22116877,2011,4713,2523,The unfolded protein response: from stress pathway to homeostatic regulation.
ERO1A,14757749,2004,786,405,Oxidative protein folding in eukaryotes: mechanisms and consequences.
EXOC2,26799652,2016,4317,46,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
EXOSC1,30265241,2018,303,33,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis
EXOSC10,26308899,2015,720,66,GGGGCC repeat expansion in C9orf72 compromises nucleocytoplasmic transport.
EXOSC2,27259150,2016,403,49,Modulated Expression of Specific tRNAs Drives Gene Expression and Cancer Progression.
EXOSC4,30265241,2018,303,35,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis
EXOSC5,30265241,2018,303,46,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis
EXOSC9,29125603,2018,507,66,Cell cycle arrest through indirect transcriptional repression by p53: I have a DREAM.
FKBP14,19420237,2009,232,110,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.
FUS,26799652,2016,4317,4075,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
GEMIN4,18485868,2008,521,50,SMN deficiency causes tissue-specific perturbations in the repertoire of snRNAs and widespread defects in splicing.
GOSR2,39866113,2025,748,87,2025 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association.
H2AX,24999379,2014,3798,2910,Lipid peroxidation: production; metabolism; and signaling mechanisms of malondialdehyde and 4-hydroxy-2-nonenal.
HERPUD1,29608179,2018,11270,969,Integrating single-cell transcriptomic data across different conditions; technologies; and species.
HSP90B1,31474370,2019,763,1752,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to An
HSPA5,31740819,2019,9217,9028,Fast; sensitive and accurate integration of single-cell data with Harmony.
HSPA9,29362479,2018,5207,1233,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
HYOU1,31953710,2020,764,786,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi
IARS1,35501376,2022,60,43,Functional and pathologic association of aminoacyl-tRNA synthetases with cancer.
IFIT1,29608179,2018,11270,837,Integrating single-cell transcriptomic data across different conditions; technologies; and species.
IGFBP1,18522489,2008,1272,459,Redox regulation of cell survival.
IMP3,33391635,2020,248,102,RNA packaging into extracellular vesicles: An orchestra of RNA-binding proteins?
KDELR3,19420237,2009,232,127,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.
KHSRP,30181377,2019,447,141,What Are 3' UTRs Doing?
KIF5B,29950571,2018,519,447,Mitochondrial dynamics in adaptive and maladaptive cellular stress responses.
LSM1,23629963,2013,803,181,Stress granules as crucibles of ALS pathogenesis.
LSM4,23629963,2013,803,120,Stress granules as crucibles of ALS pathogenesis.
MTHFD2,26771115,2016,4497,588,The Emerging Hallmarks of Cancer Metabolism.
MTREX,25064072,2014,173,20,The SKIV2L RNA exosome limits activation of the RIG-I-like receptors.
NABP1,19381306,2009,536,32,Retinoid-related orphan receptors (RORs): critical roles in development; immunity; circadian rhythm; and cellular metabo
NFYA,30567491,2018,1402,174,iDEP: an integrated web application for differential expression and pathway analysis of RNA-Seq data.
NFYB,10958673,2000,764,208,ATF6 activated by proteolysis binds in the presence of NF-Y (CBF) directly to the cis-acting element responsible for the
NHP2,22553043,2012,2005,199,Genomic analysis of reactive astrogliosis.
NOLC1,29373831,2018,795,119,Context-Dependent and Disease-Specific Diversity in Protein Interactions within Stress Granules.
NOP14,20448178,2010,2514,48,A draft sequence of the Neandertal genome.
NOP56,18959479,2008,519,209,Diverse RNA-binding proteins interact with functionally related sets of RNAs; suggesting an extensive regulatory system.
NPM1,32408336,2020,882,1130,Proteomics of SARS-CoV-2-infected host cells reveals therapy targets.
PAIP1,33599151,2021,662,78,Regulation and metabolic functions of mTORC1 and mTORC2.
PARN,31953710,2020,764,253,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi
PDIA5,32457508,2020,2205,267,Mechanisms; regulation and functions of the unfolded protein response.
PDIA6,32457508,2020,2205,982,Mechanisms; regulation and functions of the unfolded protein response.
POP4,31036962,2019,3851,52,The NLRP3 inflammasome: molecular activation and regulation to therapeutics.
PREB,33634751,2021,2271,153,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.
PSAT1,33268902,2021,3413,620,Ferroptosis: molecular mechanisms and health implications.
RPS14,33174596,2021,1713,402,MitoCarta3.0: an updated mitochondrial proteome now with sub-organelle localization and pathway annotations.
RRP9,18268104,2008,186,53,The Hsp90 chaperone controls the biogenesis of L7Ae RNPs through conserved machinery.
SDAD1,30265241,2018,303,28,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis
SEC11A,27911326,2017,126,59,Localization and Processing of the Amyloid-β Protein Precursor in Mitochondria-Associated Membranes.
SEC31A,33601415,2021,786,304,Lipid metabolism and cancer.
SERP1,33634751,2021,2271,222,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.
SHC1,29362479,2018,5207,264,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
SKIC3,33949788,2021,69,15,Ribosome dynamics and mRNA turnover; a complex relationship under constant cellular scrutiny.
SLC1A4,26382145,2015,1094,249,MYC; Metabolism; and Cancer.
SLC30A5,17942684,2007,702,57,The cation efflux transporter ZnT8 (Slc30A8) is a major autoantigen in human type 1 diabetes.
SLC7A5,26799652,2016,4317,797,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
SPCS1,19884131,2010,572,70,CORUM: the comprehensive resource of mammalian protein complexes--2009.
SPCS3,17623099,2007,87,63,Genome wide transcriptional analysis of resting and IL2 activated human natural killer cells: gene expression signatures
SRPRA,33384352,2021,115,39,QRICH1 dictates the outcome of ER stress through transcriptional control of proteostasis.
SRPRB,27984733,2016,1105,114,A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response.
SSR1,23135325,2012,341,181,Architecture and biosynthesis of the Saccharomyces cerevisiae cell wall.
STC2,15706034,2005,361,319,An initial blueprint for myogenic differentiation.
TARS1,35501376,2022,60,41,Functional and pathologic association of aminoacyl-tRNA synthetases with cancer.
TATDN2,22292898,2012,70,16,Genome-wide landscape of liver X receptor chromatin binding and gene regulation in human macrophages.
TSPYL2,36581622,2022,632,54,The sirtuin family in health and disease.
TUBB2A,35115731,2022,566,248,Large-scale deep multi-layer analysis of Alzheimer's disease brain reveals strong proteomic disease-related changes not 
VEGFA,29508855,2018,1572,3281,Enhancing cancer immunotherapy using antiangiogenics: opportunities and challenges.
WFS1,34293799,2021,2471,884,Highly accurate protein structure prediction for the human proteome.
WIPI1,26799652,2016,4317,469,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
XBP1,26799652,2016,4317,14692,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
XPOT,20810645,2010,640,77,tRNA biology charges to the front.
YIF1A,19420237,2009,232,49,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.
YWHAZ,26799652,2016,4317,806,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
ZBTB17,29242641,2018,396,46,Ubiquitin ligases in oncogenic transformation and cancer therapy.
