gene,paperclip_n_papers,paperclip_pmcid,paperclip_year,paperclip_date,paperclip_title,epmc_pmid,epmc_year,epmc_cited_by,epmc_hits,epmc_title
LSM4,10,PMC12242609,2025,2025-04-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,23629963,2013,803,120,Stress granules as crucibles of ALS pathogenesis.
MTHFD2,10,PMC12032361,2025,2025-04-25,Targeting MTHFD2 alters metabolic homeostasis and synergizes with bortezomib to inhibit multiple myeloma,26771115,2016,4497,588,The Emerging Hallmarks of Cancer Metabolism.
MTREX,8,PMC12242609,2025,2025-04-28,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,25064072,2014,173,20,The SKIV2L RNA exosome limits activation of the RIG-I-like receptors.
NABP1,10,PMC11581032,2024,2024-11-08,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,19381306,2009,536,32,Retinoid-related orphan receptors (RORs): critical roles in development; immunity; circadian rhythm; and cellular metabo
NFYA,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,30567491,2018,1402,174,iDEP: an integrated web application for differential expression and pathway analysis of RNA-Seq data.
NFYB,10,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,10958673,2000,764,208,ATF6 activated by proteolysis binds in the presence of NF-Y (CBF) directly to the cis-acting element responsible for the
NHP2,9,PMC12242609,2025,2025-04-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,22553043,2012,2005,199,Genomic analysis of reactive astrogliosis.
NOLC1,10,PMC12794328,2025,2025-12-01,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,29373831,2018,795,119,Context-Dependent and Disease-Specific Diversity in Protein Interactions within Stress Granules.
NOP14,10,PMC12794328,2025,2025-12-01,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,20448178,2010,2514,48,A draft sequence of the Neandertal genome.
NOP56,9,PMC12242609,2025,2025-04-28,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,18959479,2008,519,209,Diverse RNA-binding proteins interact with functionally related sets of RNAs; suggesting an extensive regulatory system.
NPM1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,32408336,2020,882,1130,Proteomics of SARS-CoV-2-infected host cells reveals therapy targets.
PAIP1,8,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,33599151,2021,662,78,Regulation and metabolic functions of mTORC1 and mTORC2.
PARN,9,PMC12242609,2025,2025-04-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,31953710,2020,764,253,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi
PDIA5,10,PMC13266193,2026,2026-06-04,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,32457508,2020,2205,267,Mechanisms; regulation and functions of the unfolded protein response.
PDIA6,11,PMC11524824,2024,2024-10-31,Increased ER stress by depletion of PDIA6 impairs primary ciliogenesis and enhances sensitivity to ferroptosis in kidney cells,32457508,2020,2205,982,Mechanisms; regulation and functions of the unfolded protein response.
POP4,9,PMC11850225,2025,2025-02-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,31036962,2019,3851,52,The NLRP3 inflammasome: molecular activation and regulation to therapeutics.
PREB,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,33634751,2021,2271,153,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.
PSAT1,10,PMC11494179,2024,2024-10-21,Interplay between acetylation and ubiquitination controls PSAT1 protein stability in lung adenocarcinoma,33268902,2021,3413,620,Ferroptosis: molecular mechanisms and health implications.
RPS14,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,33174596,2021,1713,402,MitoCarta3.0: an updated mitochondrial proteome now with sub-organelle localization and pathway annotations.
RRP9,9,PMC12242609,2025,2025-04-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,18268104,2008,186,53,The Hsp90 chaperone controls the biogenesis of L7Ae RNPs through conserved machinery.
SDAD1,9,PMC12242609,2025,2025-04-28,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,30265241,2018,303,28,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis
SEC11A,10,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,27911326,2017,126,59,Localization and Processing of the Amyloid-β Protein Precursor in Mitochondria-Associated Membranes.
SEC31A,11,PMC12528718,2025,2025-10-15,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,33601415,2021,786,304,Lipid metabolism and cancer.
SERP1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,33634751,2021,2271,222,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.
SHC1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,29362479,2018,5207,264,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
SKIC3,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,33949788,2021,69,15,Ribosome dynamics and mRNA turnover; a complex relationship under constant cellular scrutiny.
SLC1A4,10,PMC12794328,2025,2025-12-01,Disturbances of endoplasmic reticulum proteostasis in neurodevelopmental disorders,26382145,2015,1094,249,MYC; Metabolism; and Cancer.
SLC30A5,11,PMC13287676,2026,2026-04-22,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,17942684,2007,702,57,The cation efflux transporter ZnT8 (Slc30A8) is a major autoantigen in human type 1 diabetes.
SLC7A5,10,PMC11338521,2024,2024-08-19,Sestrin2 drives ER-phagy in response to protein misfolding,26799652,2016,4317,797,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
SPCS1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,19884131,2010,572,70,CORUM: the comprehensive resource of mammalian protein complexes--2009.
SPCS3,10,PMC12304649,2025,2025-07-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,17623099,2007,87,63,Genome wide transcriptional analysis of resting and IL2 activated human natural killer cells: gene expression signatures
SRPRA,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,33384352,2021,115,39,QRICH1 dictates the outcome of ER stress through transcriptional control of proteostasis.
SRPRB,9,PMC12242609,2025,2025-04-28,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,27984733,2016,1105,114,A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response.
SSR1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,23135325,2012,341,181,Architecture and biosynthesis of the Saccharomyces cerevisiae cell wall.
STC2,10,PMC11739220,2024,2024-10-31,IGFBP6 Modulates Proteostasis by Activating ATF4 Targets and Reducing ER Retrotranslocon Expression,15706034,2005,361,319,An initial blueprint for myogenic differentiation.
TARS1,8,PMC12242609,2025,2025-04-28,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,35501376,2022,60,41,Functional and pathologic association of aminoacyl-tRNA synthetases with cancer.
TATDN2,10,PMC12242609,2025,2025-04-28,The Role of ER Stress and the Unfolded Protein Response in Cancer,22292898,2012,70,16,Genome-wide landscape of liver X receptor chromatin binding and gene regulation in human macrophages.
TSPYL2,9,PMC11581032,2024,2024-11-08,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,36581622,2022,632,54,The sirtuin family in health and disease.
TUBB2A,11,PMC12834500,2026,2026-01-26,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,35115731,2022,566,248,Large-scale deep multi-layer analysis of Alzheimer's disease brain reveals strong proteomic disease-related changes not 
VEGFA,9,PMC12242609,2025,2025-04-28,The Role of ER Stress and the Unfolded Protein Response in Cancer,29508855,2018,1572,3281,Enhancing cancer immunotherapy using antiangiogenics: opportunities and challenges.
WFS1,10,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,34293799,2021,2471,884,Highly accurate protein structure prediction for the human proteome.
WIPI1,9,PMC11338521,2024,2024-08-19,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,26799652,2016,4317,469,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
XBP1,10,PMC12804389,2025,2025-12-18,Expanding the landscape of the unfolded protein response: The roles of secondary transcription factors in development and disease,26799652,2016,4317,14692,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
XPOT,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,20810645,2010,640,77,tRNA biology charges to the front.
YIF1A,10,PMC12304649,2025,2025-07-28,Membrane Contact Sites in Proteostasis and ER Stress Response,19420237,2009,232,49,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.
YWHAZ,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,26799652,2016,4317,806,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
ZBTB17,10,PMC11581032,2024,2024-11-08,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,29242641,2018,396,46,Ubiquitin ligases in oncogenic transformation and cancer therapy.
