gene,pmid,year,cited_by,hits,title,class,u_z,q,rank
RRP9,18268104,2008,186,53,The Hsp90 chaperone controls the biogenesis of L7Ae RNPs through conserved machinery.,DISAGREES,2.5672594563419815,0.11532929893386366,3062.3333333333335
SDAD1,30265241,2018,303,28,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis,DISAGREES,1.266966001617837,0.5312770604277847,4196.0
SEC11A,27911326,2017,126,59,Localization and Processing of the Amyloid-β Protein Precursor in Mitochondria-Associated Membranes.,DISAGREES,-0.78809624404328,0.7379223376484753,6434.666666666667
SEC31A,33601415,2021,786,304,Lipid metabolism and cancer.,DISAGREES,1.0582446580461755,0.6197106526185725,1999.6666666666667
SERP1,33634751,2021,2271,222,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.,DISAGREES,-1.3527616943508156,0.500224901639574,8429.0
SHC1,29362479,2018,5207,264,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.,DISAGREES,3.0166355070499105,0.05358492442945621,791.0
SKIC3,33949788,2021,69,15,Ribosome dynamics and mRNA turnover; a complex relationship under constant cellular scrutiny.,UNTESTED,,,
SLC1A4,26382145,2015,1094,249,MYC; Metabolism; and Cancer.,DISAGREES,-0.958523690516321,0.6647210984376495,8306.666666666666
SLC30A5,17942684,2007,702,57,The cation efflux transporter ZnT8 (Slc30A8) is a major autoantigen in human type 1 diabetes.,DISAGREES,2.4671734575859547,0.13531894405124753,868.6666666666666
SLC7A5,26799652,2016,4317,797,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,DISAGREES,-0.3327081821867623,0.9060963796755949,6837.0
SPCS1,19884131,2010,572,70,CORUM: the comprehensive resource of mammalian protein complexes--2009.,DISAGREES,1.099936648402694,0.6022014170694285,1688.3333333333333
SPCS3,17623099,2007,87,63,Genome wide transcriptional analysis of resting and IL2 activated human natural killer cells: gene expression signatures,DISAGREES,-1.928635308807156,0.28067312198274336,11035.666666666666
SRPRA,33384352,2021,115,39,QRICH1 dictates the outcome of ER stress through transcriptional control of proteostasis.,UNTESTED,,,
SRPRB,27984733,2016,1105,114,A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response.,DISAGREES,0.8764466687486295,0.7024255185578143,3295.0
SSR1,23135325,2012,341,181,Architecture and biosynthesis of the Saccharomyces cerevisiae cell wall.,DISAGREES,-2.0576325982536297,0.23958266471368286,9464.666666666666
STC2,15706034,2005,361,319,An initial blueprint for myogenic differentiation.,DISAGREES,0.4674992147500518,0.8595851785001118,4813.0
TARS1,35501376,2022,60,41,Functional and pathologic association of aminoacyl-tRNA synthetases with cancer.,UNTESTED,,,
TATDN2,22292898,2012,70,16,Genome-wide landscape of liver X receptor chromatin binding and gene regulation in human macrophages.,DISAGREES,-0.2561088211507822,0.928015141771217,5319.666666666667
TSPYL2,36581622,2022,632,54,The sirtuin family in health and disease.,DISAGREES,-2.55127099191059,0.11788590638733316,10691.0
TUBB2A,35115731,2022,566,248,Large-scale deep multi-layer analysis of Alzheimer's disease brain reveals strong proteomic disease-related changes not ,DISAGREES,2.2032350800515657,0.1974316804678083,884.0
VEGFA,29508855,2018,1572,3281,Enhancing cancer immunotherapy using antiangiogenics: opportunities and challenges.,DISAGREES,-1.8189462557227616,0.31890554606857807,10186.0
WFS1,34293799,2021,2471,884,Highly accurate protein structure prediction for the human proteome.,UNTESTED,,,
WIPI1,26799652,2016,4317,469,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,DISAGREES,-1.3508292006108338,0.5010962500977872,9210.0
XBP1,26799652,2016,4317,14692,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,DISAGREES,0.6492536387494197,0.7935598402272049,2802.3333333333335
XPOT,20810645,2010,640,77,tRNA biology charges to the front.,DISAGREES,0.0870211219557844,0.9769486426044357,3669.3333333333335
YIF1A,19420237,2009,232,49,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.,DISAGREES,1.214295556120417,0.5534995626131742,2110.0
YWHAZ,26799652,2016,4317,806,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,DISAGREES,0.118570091558182,0.9704321637608689,3649.3333333333335
ZBTB17,29242641,2018,396,46,Ubiquitin ligases in oncogenic transformation and cancer therapy.,AGREES,4.050875685799909,0.004804977665286359,494.3333333333333
