screen_id,r2_size_alone,r2_size_raw,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
416,0.3166,0.2584,1546,17667,50,29083409,OVMANA,cell proliferation,Avana
418,0.2437,0.2064,1664,17667,50,29083409,OVTOKO,cell proliferation,Avana
419,0.25,0.2145,2146,17667,50,29083409,P31/FUJ,cell proliferation,Avana
420,0.2567,0.2127,1760,17667,50,29083409,Panc 02.03,cell proliferation,Avana
421,0.2316,0.2012,2165,17667,50,29083409,Panc 04.03,cell proliferation,Avana
422,0.1832,0.1532,1851,17667,50,29083409,Panc 10.05,cell proliferation,Avana
423,0.1937,0.1679,2021,17667,50,29083409,PaTu 8988s,cell proliferation,Avana
424,0.2783,0.2313,2135,17667,50,29083409,PC-14,cell proliferation,Avana
425,0.227,0.1823,2076,17667,50,29083409,PE/CA-PJ34 (clone C12),cell proliferation,Avana
426,0.2063,0.1871,1706,17667,50,29083409,PF-382,cell proliferation,Avana
427,0.2312,0.1962,2075,17667,50,29083409,PK-1,cell proliferation,Avana
428,0.2724,0.2343,1724,17667,50,29083409,PK-45H,cell proliferation,Avana
429,0.2999,0.2474,1969,17667,50,29083409,PLC/PRF/5,cell proliferation,Avana
430,0.2009,0.1698,1575,17667,50,29083409,PSN1,cell proliferation,Avana
431,0.1628,0.127,1530,17667,50,29083409,RCC10RGB,cell proliferation,Avana
432,0.2278,0.1932,2131,17667,50,29083409,RD,cell proliferation,Avana
433,0.2348,0.2041,1822,17667,50,29083409,RERF-LC-Ad1,cell proliferation,Avana
434,0.236,0.206,1943,17667,50,29083409,RERF-LC-A1,cell proliferation,Avana
435,0.2084,0.1694,1749,17667,50,29083409,Rh30,cell proliferation,Avana
436,0.2254,0.189,1879,17667,50,29083409,RKN,cell proliferation,Avana
437,0.2522,0.2117,2349,17667,50,29083409,RKO,cell proliferation,Avana
438,0.2757,0.2329,1680,17667,50,29083409,RMUG-S,cell proliferation,Avana
439,0.2173,0.1876,2129,17667,50,29083409,RPMI-7951,cell proliferation,Avana
440,0.2505,0.2162,1325,17667,50,29083409,RT-4,cell proliferation,Avana
441,0.2483,0.2156,1905,17667,50,29083409,RT-112,cell proliferation,Avana
442,0.2787,0.2455,1864,17667,50,29083409,RT112/84,cell proliferation,Avana
443,0.2475,0.2248,1760,17667,50,29083409,RVH-421,cell proliferation,Avana
444,0.2358,0.2056,1811,17667,50,29083409,SCaBER,cell proliferation,Avana
445,0.2574,0.2149,2220,17667,50,29083409,SF295,cell proliferation,Avana
446,0.254,0.2035,2026,17667,50,29083409,SF767,cell proliferation,Avana
447,0.2488,0.2078,1681,17667,50,29083409,SH-10-TC,cell proliferation,Avana
448,0.2002,0.1725,1927,17667,50,29083409,SiMa,cell proliferation,Avana
449,0.1934,0.1671,1848,17667,50,29083409,SJSA-1,cell proliferation,Avana
450,0.2362,0.2063,1809,17667,50,29083409,SK-BR-3,cell proliferation,Avana
451,0.2416,0.1991,1633,17667,50,29083409,SK-HEP-1,cell proliferation,Avana
452,0.2179,0.1963,1769,17667,50,29083409,SK-MEL-24,cell proliferation,Avana
453,0.2501,0.2076,1546,17667,50,29083409,SK-MEL-30,cell proliferation,Avana
454,0.2101,0.1852,1837,17667,50,29083409,SK-MES-1,cell proliferation,Avana
455,0.2076,0.1835,2185,17667,50,29083409,SK-N-AS,cell proliferation,Avana
456,0.2334,0.1992,1982,17667,50,29083409,SK-N-BE(2),cell proliferation,Avana
457,0.1973,0.1722,1828,17667,50,29083409,SK-N-DZ,cell proliferation,Avana
458,0.1345,0.1121,1402,17667,50,29083409,SK-N-FI,cell proliferation,Avana
459,0.2245,0.1814,1772,17667,50,29083409,SK-N-MC,cell proliferation,Avana
460,0.2069,0.1703,1828,17667,50,29083409,SK-OV-3,cell proliferation,Avana
461,0.2689,0.222,2199,17667,50,29083409,SLR20,cell proliferation,Avana
