gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label,k562_chronos,tier_note
GINS4,24,93.66666666666669,4.1239782561428955,0.0451544865971647,0.0914603558489707,0.003941696815936902,610.0,True,-1.3887430477854876,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.1159912056550911,
ENO1,25,95.66666666666669,4.730056723741881,0.0616087065554352,0.0656224623632081,0.0007091508159305482,1466.0,True,-0.3789454121316491,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.8636073542442335,
MCM3,26,98.33333333333331,4.6022816648411355,0.0512675887941687,0.0700741595807278,0.0011567929429698207,541.0,True,-0.982945729929782,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.934842884128844,
EIF3H,27,99.33333333333331,4.8494089902454025,0.0619760175426876,0.0636688932837246,0.00048071608497945317,367.0,True,-0.9363053403859808,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.7500944175710548,
USP1,28,100.33333333333331,4.361541423217033,0.0453743122901669,0.07834068713518,0.002345102017546969,,False,-0.3233515249681578,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.7113493971029214,
URI1,29,106.0,5.092434834643841,0.0480619833078184,0.0676291562860932,0.00018089263781245136,647.0,True,-1.252236386491666,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.2504569390315972,
EIF4G1,30,107.66666666666669,4.600103399932227,0.0417472011553894,0.0778124433952086,0.0011567929429698207,60.0,True,-0.7195533904080555,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.8693863991357831,
DNA2,31,109.33333333333331,3.704953989095798,0.0490833513905872,0.095168286476832,0.011667984795376935,,False,,,False,T3_no_fitness_data,No fitness data available for this gene,,
GTF2H4,32,113.66666666666669,4.198823438413009,0.0428251023815271,0.0801116139614461,0.003315127155137704,574.0,True,-0.7089446164577244,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.7508930758301402,
GINS3,33,114.33333333333331,4.731997340166667,0.0530604806339412,0.0625644418749668,0.0007091508159305482,838.0,True,-1.1292859232050292,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.1216980534459466,
POLD3,34,115.0,3.816102293917696,0.0426238670773619,0.0998402112636905,0.008822648375972101,666.0,True,-1.579524721814051,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-2.0886575872095,
MCM10,35,115.0,4.519725424793484,0.049223596635217,0.065846906072366,0.0014831788680362344,1124.0,True,-0.7303984113920462,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.6689492559501907,
PGK1,36,117.0,4.203702751808965,0.0540822404442358,0.0674473160948417,0.003315127155137704,286.0,True,-0.7329132579062362,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.7892991353818222,
MTHFD1,37,120.33333333333331,4.339670047423065,0.0404901868231961,0.0779156588753786,0.002416338534770184,1123.0,True,-0.3326820086187336,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.5040761859945302,
RAPGEF6,38,122.33333333333331,3.883933463181122,0.0540872198458979,0.0732457370093673,0.0074172932537593175,,False,-0.1120576630995063,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0088563241399252,
EXOC4,39,123.66666666666669,4.463351928950919,0.0485571906856772,0.0642852928993759,0.0017811340058966388,1710.0,True,-0.3960666703124788,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0743070594860573,
MTOR,40,124.0,4.729666596714135,0.0558683266339714,0.0599222184837942,0.0007091508159305482,22.0,True,-1.1721361048651462,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.0658746127497791,
RFC3,41,134.0,5.1006686759995175,0.0352536869963919,0.0790893042152789,0.00018089263781245136,489.0,True,-1.4154082571165365,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.8207654118787175,
ATF4,42,134.66666666666666,4.276317948239176,0.0456037414347573,0.0654617163821368,0.002778091360818211,1583.0,True,-0.4423774325446288,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.6522424821756847,
ZNF706,43,134.66666666666666,5.192025106279162,0.0477596282227064,0.0594852333898896,0.00016727694785708498,1390.0,True,-0.1859251052378822,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.0403108357031959,
ARPC1B,44,135.0,3.805298099969507,0.0416566305509907,0.0854368770756869,0.009111485828127963,479.0,True,-0.0261488435843724,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.1179291326834528,
LSM12,45,136.33333333333334,3.956948902927752,0.0449147109276783,0.0729474670379055,0.006238177850352496,187.0,True,-0.4943943336838045,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.4060705046130095,
XPO1,46,137.33333333333334,4.0097500443197065,0.0376648430257699,0.0870173419041741,0.0053897007178524995,667.0,True,-1.9814499470857083,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-2.0087444851493874,
PSMD13,47,139.66666666666666,4.20261361935451,0.0338371843080554,0.1019145257228043,0.003315127155137704,1024.0,True,-1.0059118018257305,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.83808272596345,
ADSL,48,140.33333333333334,5.029286934934569,0.0676775107094071,0.0531744748779718,0.0002409736774260896,1393.0,True,-0.8940608837024433,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.409636026120828,
DDX39B,49,140.66666666666666,4.560966727923264,0.037636544719115,0.072308347164319,0.0012865277688454114,,False,-0.7465971429505392,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.4861162977195535,
PIAS4,50,142.0,4.569433430014787,0.0456076492441529,0.0607592303869461,0.0012803866584558635,593.0,True,-0.0783761928031595,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.1616973450635934,
L3MBTL2,51,143.66666666666666,4.249184923106985,0.0489378904154635,0.0609261540983372,0.0030192513774219983,,False,-0.0344086266141987,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.1453887372016597,
PNISR,52,149.33333333333334,3.7817292736551114,0.0387958105817449,0.0850363057262043,0.009740839874488993,814.0,True,-0.4605507747471163,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.2117600678299674,
PAX1,53,156.33333333333334,3.766786376379996,0.0472542756083956,0.0682164245920263,0.010098150436847928,,False,0.0276975950141435,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.0802301342241079,
CLK3,54,156.66666666666666,4.864021976295643,0.0520277614570411,0.0530956178895043,0.0004624791788807412,,False,-0.0183422032871226,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0275603610284922,
ZNF829,55,158.33333333333334,4.1401050455168384,0.047279308952482,0.0603234600649384,0.003846985935431302,,False,0.0447373033582513,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.3707473512752642,
RBM12,56,159.33333333333334,4.465878716245253,0.0490419091818197,0.0548606400094221,0.0017811340058966388,690.0,True,-0.2637534132312512,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.1845071551366099,
RPTOR,57,160.0,4.260903988316915,0.0569875699782775,0.0542435995402806,0.0029386510818189843,1076.0,True,-0.914313681266976,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.9739099435146789,
MTHFD1L,58,160.66666666666666,5.764995907918587,0.0559662680150034,0.0493979963761467,3.0644209404206825e-05,,False,-0.0701936155805658,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.1604889833319157,
EIF3M,59,162.33333333333334,4.2847777717185584,0.0436577334902847,0.059700153338821,0.002778091360818211,843.0,True,-1.1372098545291192,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.041760440586056,
ORC4,60,162.33333333333334,4.353044593963767,0.048600983375394,0.0556462137555235,0.0023992017952660233,947.0,True,-0.5374953882278468,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.140181256044648,
WDR7,61,163.33333333333334,4.218253561400477,0.0404062035542379,0.0632489141384905,0.0032608712698927655,815.0,True,-0.7703521868736518,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.8216360997300165,
DOHH,62,174.33333333333334,4.631425224044165,0.0299845981261557,0.0978390519653592,0.00104831365931909,877.0,True,-0.3997943453333425,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.1313084561495008,
PSMB3,63,174.66666666666666,3.4909309083157587,0.0405411408743639,0.0799654583172468,0.020113362084696523,1446.0,True,-2.6827928910215824,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-2.503264791766259,
TTI1,64,182.33333333333337,3.981345469907533,0.0315601307574288,0.097240658539743,0.005800516532700803,56.0,True,-0.813243960397508,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.2725497609323584,
NUP62,65,184.33333333333337,4.162751371521476,0.0292353224858292,0.1266897260265767,0.003575673692568795,132.0,True,-0.6096436535861711,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.6004736624599782,
TIMELESS,66,185.0,4.21459407635351,0.0509715233485173,0.0511262559190878,0.0032756569200949773,611.0,True,-1.377915561647403,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.4328788219926665,
FUNDC2,67,186.66666666666663,3.962636138849747,0.0304112695054876,0.1126722445607018,0.0061749747385089464,616.0,True,0.0641369147498598,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.0997721666528237,
GINS2,68,188.66666666666663,3.604767032455344,0.0385805353063024,0.0732092678594125,0.015096014696218647,538.0,True,-2.0651683959691174,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.9182235523404176,
TRAF3IP1,69,191.66666666666663,5.2838607548387655,0.0458280141853805,0.0473181304104301,0.00014091637895094524,,False,0.0095876638423864,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0417901128097834,
NEDD1,70,192.0,3.9782958990350608,0.0361889942064719,0.0666918760068296,0.0058315564235207435,1376.0,True,-1.8327432487337956,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.8033558925781787,
MIOS,71,192.66666666666663,4.722410129490373,0.064645042065578,0.0449568468243344,0.0007091508159305482,1397.0,True,-0.3889964260134029,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.1520632945012509,
SACS,72,193.0,4.973756064112789,0.0650297176115764,0.0438250362064502,0.00029571583716776127,,False,-0.1579028216189338,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.108680363192271,
RFC2,73,197.0,3.745047292589083,0.0422799878436563,0.0609963697033969,0.010590636651396952,261.0,True,-1.4766898772695822,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.411845455707265,
ZFP91,74,198.33333333333337,5.116352183343662,0.0514750178514662,0.0450595247371694,0.00018089263781245136,,False,-0.187081114476986,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.2426067072454022,
ERCC2,75,200.33333333333337,3.910029076789852,0.0315978764828019,0.0846293626727279,0.006961358931632943,545.0,True,-0.7739336528414124,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.6009447262615186,
PDRG1,76,203.33333333333337,4.487574234737987,0.0347905512353204,0.0590736190728844,0.0016896080079844753,1273.0,True,-1.5025529123025976,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.9640788446514457,
GTF2H3,77,203.33333333333337,4.087078448585976,0.0389067597876334,0.0571253974636092,0.00427646818111609,576.0,True,-0.8868503204601227,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.6344965315679736,
RPAP3,78,204.33333333333337,3.733546053870044,0.029781254277269,0.1762663614828136,0.010789544433693855,496.0,True,-0.8103333391830697,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.5553623302684851,
FLCN,79,206.0,4.2514239505795,0.0437740022170425,0.0501014531263273,0.0030192513774219983,,False,-0.2181533100910898,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.0563349810468117,
TOP1,80,207.0,4.675780105913615,0.0282801054700744,0.0886348078340866,0.0008675718892036216,295.0,True,-1.0019919321131892,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.1088323870211445,
CHAF1A,81,207.33333333333337,3.6214525416575865,0.0335465585146368,0.081829501499412,0.014465224052324803,820.0,True,-1.104670326685505,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.7336815943558643,
VDAC3,82,208.33333333333337,4.120449466990463,0.03174804317715,0.072746310523501,0.003941696815936902,,False,-0.201536507344521,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.1963980826970411,
SLC25A44,83,210.0,4.4080969834377575,0.0488569432711337,0.0458299020281263,0.0020964577234201353,,False,-0.1276248222949605,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0626503496253587,
GAB2,84,210.66666666666663,3.869034131204185,0.0313357265662897,0.0826734845444417,0.007736677947498344,1882.0,True,-0.2010014311956093,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-1.6350522979349773,
EIF4E,85,216.33333333333337,3.9482794085902944,0.0291863531275417,0.0985124097017846,0.0063240600973795205,252.0,True,-1.5208249446126834,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.9051069680028243,
CASP8AP2,86,217.0,3.7209301686159697,0.0409168646030327,0.0578250238822629,0.011117433189731908,1379.0,True,,,False,T3_no_fitness_data,No fitness data available for this gene,,
NDUFS8,87,219.0,3.742084852312967,0.0517622457549669,0.0506526170446701,0.010590636651396952,,False,-0.4536370550222799,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.8922664733259156,
BMP2K,88,230.0,3.736857016531586,0.0326176704605465,0.070128628021378,0.010702843380171745,528.0,True,-0.0722169269518161,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0684011242176379,
NDUFC1,89,232.66666666666663,4.558890627855668,0.07083913337752,0.0393078775988909,0.0012865277688454114,,False,-0.2881233070503328,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.5263060734385007,
ELOB,90,234.66666666666663,4.313855132100788,0.032016107060376,0.0595056818678316,0.002580206472094056,401.0,True,-1.3946426863540942,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.7515359361445482,
COX7B,91,235.33333333333337,3.863109250651952,0.059394835152078,0.0447918423459033,0.007780036054560288,1945.0,True,-0.6110808993031743,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.8284022109928375,
ARHGAP6,92,241.0,3.929807722162746,0.0438315390326211,0.0476944537019072,0.006554569742818791,353.0,True,0.1640716143074032,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.0911150161299782,
SPIN4,93,241.66666666666663,3.8793155415742353,0.0443412073589029,0.0478213710666011,0.007511366296649861,,False,0.1394572739354892,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.111146451676252,
RANBP3,94,241.66666666666663,4.1980828283439795,0.044586103672576,0.0443992633859651,0.003315127155137704,,False,-0.3490931145052738,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.5752392179025425,
ZNF496,95,244.0,4.122889123688441,0.0396878102633646,0.0477085923948217,0.003941696815936902,,False,0.0473227025844263,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.1770900530328412,
RAD51,96,244.33333333333337,3.636569700125415,0.0456426913684585,0.0495879058904768,0.01388618544560212,2192.0,True,-1.4603614722440768,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.209319033958525,
MED24,97,244.66666666666663,3.7657843745218975,0.0276586077646249,0.106862442252604,0.010098150436847928,1768.0,True,-0.3917810782795146,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.638554684918642,
PIKFYVE,98,248.66666666666663,4.452286343213661,0.0532250425370975,0.0391395814610964,0.001827098264243735,,False,-0.2236245201953509,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.216261930487993,
MED1,99,249.66666666666663,5.268307943389154,0.0247089493102964,0.100091296272454,0.00014091637895094524,182.0,True,-0.6696136124482681,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-1.3727834694449277,
ATP6V0C,100,250.0,3.7244844718489825,0.0370645821523406,0.0552082957739009,0.011016783721157296,704.0,True,-2.175503616808064,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-2.0071199885714286,
MCUR1,101,251.66666666666663,3.8459880884679274,0.0372008624294161,0.0525370930806396,0.008142897552936122,,False,0.0249195005843137,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.6863396725179214,
COX19,102,252.33333333333337,2.906850955640897,0.0420543738333423,0.0849532266886397,0.06442242341528506,,False,-0.2416579572904456,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.5409681645409448,
CDK2,103,252.66666666666663,4.78172712803706,0.0497347420525057,0.0385517426679385,0.0006521965398386427,1837.0,True,-0.6776234311878309,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.4334610422875886,
MED19,104,257.6666666666667,5.1610937445726535,0.0235544800261332,0.1903443857292805,0.00018089263781245136,372.0,True,-0.4926838438849437,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.9148443515966044,
PPAT,105,258.6666666666667,2.921750287617834,0.0344584492627168,0.1322961072468834,0.06320286315923083,,False,-0.7135196147108837,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.8795366359921213,
STXBP5,106,259.3333333333333,4.329480890689263,0.0435419949676746,0.0413458290726082,0.002438600902636014,,False,0.0085313831850029,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0275548906195351,
COX6C,107,262.3333333333333,4.158058326561297,0.0550012326193128,0.0390397873572813,0.003613413643058959,1960.0,True,-0.3995046445084579,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.5437781100638825,
ZNF669,108,263.3333333333333,4.2290577553486655,0.0589616101494618,0.0379737390955624,0.003145164894900469,,False,0.1160499064191835,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.0982697087594436,
SP1,109,266.6666666666667,4.238620338298777,0.0340099270306462,0.0492327592765218,0.0031145343516708187,731.0,True,-0.1186080370703395,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.5460692840110127,
PSMG3,110,267.6666666666667,3.5658632211822283,0.0392280813478066,0.0512773332827116,0.016664619680270297,317.0,True,-1.109279225004819,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.9398550029556122,
TAC3,111,269.3333333333333,4.0012112458767835,0.0373993836975587,0.0467845315226558,0.0055261931917159205,,False,-0.1842173926686135,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0897629132046631,
ZDHHC7,112,269.3333333333333,4.912553718466135,0.0236577143873105,0.1118643732321566,0.0003748402877821122,619.0,True,-0.09331699723354,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.0079331187538837,
SLC2A11,113,273.6666666666667,4.347903888778742,0.0353442734477174,0.0451204647559812,0.002416338534770184,,False,-0.0727288119390182,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.1436611488920219,
MOB4,114,273.6666666666667,4.0375011392592075,0.0486058250892611,0.0399977534980561,0.004985225346270064,1731.0,True,-0.6202681158727789,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-0.2884310921006359,
CCND3,115,274.3333333333333,3.790355202694391,0.0548835599997159,0.0405972597453657,0.009461248792663364,1092.0,True,-0.3197183562678141,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,-0.4411154368522588,
ORC6,116,274.6666666666667,3.5610274730844504,0.0405603335238011,0.049038288112248,0.016724103660960807,1145.0,True,-1.8894442083516552,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying,-2.0228626899311752,
SLC12A7,117,275.3333333333333,3.354745786210767,0.0409868349565941,0.0533372432018954,0.026458947521002002,,False,0.0448411843642565,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential,0.1726644779262642,
