gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label
IMPA2,1984,2239.0,3.3736046705023894,-0.0091026307485523,0.0723071332132304,0.0162814894364111,1470.0,True,-0.0326608587111067,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
HNRNPA1,1985,2240.0,1.156083562273159,0.0057855393122463,0.016030394402419,0.5630068030160471,89.0,True,-0.433379816461607,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
GOSR2,1986,2243.3333333333335,0.9831501003604568,0.0067110965751586,0.0170577644545007,0.6406538370557207,2050.0,True,-0.8788051487052793,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
PPY,1987,2243.6666666666665,0.9164305012035966,0.0052436539237232,0.0220993375614709,0.6707423165381968,30.0,True,-0.2256283174457391,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
MRM2,1988,2244.3333333333335,0.7107214743810883,0.0200357752364602,0.0103420722433722,0.7577150773871999,,False,-0.3173968041354044,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SNX5,1989,2245.3333333333335,1.627836722558349,0.0048350501054095,0.0118746690018901,0.3730793541692072,,False,0.0461030192222696,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TEAD1,1990,2246.0,0.7477619523718496,0.010896500819099,0.0153033031654273,0.7431583266701236,,False,-0.2362098252436699,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ZC3H13,1991,2246.6666666666665,1.2941382144690086,-0.000793205015075,0.0324233835033451,0.5042624919762927,1628.0,True,-0.4664537772357456,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CARMIL1,1992,2247.6666666666665,0.880792186417533,0.0077736231216966,0.0170760669078363,0.6845637046961571,,False,0.0382779911344127,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SUCLA2,1993,2249.6666666666665,0.9489139487790906,0.0135042128532044,0.0105922751259343,0.6574157439268219,,False,-0.18120004938939,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
KANK2,1994,2251.0,1.3292507180533106,0.0065285969874409,0.0126439719024869,0.4901906530203653,,False,0.1279156334285117,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
STT3A,1995,2251.3333333333335,1.177641821545384,0.0039157743928594,0.0186353325394592,0.5541780178880044,,False,-0.2496279449006476,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
MYO18A,1996,2251.3333333333335,1.1047293349011098,0.006974373781738,0.014649891155072,0.5880700966144884,,False,-0.3036899653130144,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TLX1,1997,2251.6666666666665,1.2743326592026551,0.0093812408510069,0.0099675608565152,0.5135083934510029,,False,0.0354356790346092,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CTDSPL2,1998,2251.6666666666665,1.1976810706791872,0.0089156721921523,0.0113757915988049,0.5474767090427984,,False,-0.1771750950543508,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
FCGR2A,1999,2254.0,1.2346047017362236,0.0092148798051935,0.0105859360999109,0.530337489630596,,False,0.0864534148625118,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PPP2R5E,2000,2254.6666666666665,1.0963163556729243,0.0075514755888172,0.0139893564774309,0.592165321911569,,False,-0.1026771338654959,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
HIST1H2BC,2001,2255.0,1.0128151108672423,0.010017201442815,0.0123557534209994,0.62802939101006,2028.0,True,,,False,T3_no_fitness_data,No fitness data available for this gene
GCHFR,2002,2255.3333333333335,0.8653099676989972,0.01388003170873,0.0113453175441696,0.6919872282707239,,False,-0.0617949404587255,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
RCC1,2003,2257.6666666666665,1.9093898391512716,-0.0046044859100381,0.0332281008091882,0.0846815864921913,904.0,True,-1.536046809728284,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
FYN,2004,2258.6666666666665,1.8328394300496111,-0.0027480902730546,0.0244920737895464,0.29701232258913707,1248.0,True,-0.0175051792715182,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
BBS1,2005,2259.0,1.175634046426236,0.0071387133004257,0.0134835289310941,0.5549584538347399,,False,-0.1118462177248504,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
DECR2,2006,2259.3333333333335,1.1810888060902658,0.0069011025991767,0.0137374358908195,0.5525137533466902,,False,0.0529719220329524,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
FMR1NB,2007,2259.3333333333335,1.2816940160273174,0.0088443835897449,0.010334958900768,0.5092414700615107,,False,0.0329693055775163,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
