pathway_id	n_unique_reactions	n_reaction_slots
PWY-7869	4	4
PWY-3941	6	6
PWY-6285	53	53
PWY-6284	20	20
PWY-6281	4	4
PWY-6282	9	9
THISYN-PWY	12	12
PWY-2942	8	8
PWY-2941	9	9
PWY-7009	10	10
GLUCARGALACTSUPER-PWY	4	4
COLANSYN-PWY	12	12
PWY-7000	19	19
PWY-7002	5	5
PWY-8041	20	20
PWY-5860	9	9
PWY-5861	9	9
PWY-5862	9	9
PWY-5863	16	16
PWY-5864	5	5
GALACT-GLUCUROCAT-PWY	11	11
PWY-6662	11	11
BRANCHED-CHAIN-AA-SYN-PWY	19	19
PWY-5405	27	27
CAROTENOID-PWY	26	26
PWY-622	10	10
PWY-5517	6	6
KETOGLUCONMET-PWY	8	8
PWY-5531	10	10
PWY-6713	8	8
NONOXIPENT-PWY	5	5
PWY-6842	9	9
PWY-5717	14	14
PWY-5088	11	11
PWY-5080	4	4
PWY-5081	4	4
P42-PWY	7	7
PWY-7838	8	8
PWY-7535	8	8
PWY-7537	11	11
PWY-5667	4	4
PWY-5660	15	15
PWY-5392	13	13
PWY-5391	6	6
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4	4
PWY-7835	42	42
PWY-7084	6	6
PWY-6676	12	12
NAD-BIOSYNTHESIS-II	5	5
PWY-7398	13	13
PWY-7399	5	5
PWY-5410	9	9
PWY-7826	25	25
PWY-7391	8	8
PWY66-201	16	16
DENOVOPURINE2-PWY	27	27
PWY-6061	31	31
CATECHOL-ORTHO-CLEAVAGE-PWY	4	4
PWY3DJ-12	4	4
PWY66-430	25	25
PWY0-461	7	7
PWY-5918	10	10
PWY-5433	37	37
PWY-5431	6	6
PWY66-378	6	6
PWY-5897	10	10
PWY-5896	10	10
PWY66-373	5	5
PWY66-374	7	7
PWY66-375	6	6
TYRFUMCAT-PWY	5	5
PWY-6470	17	17
ARGSYNBSUB-PWY	9	9
PWY-6478	4	4
PWY-3801	19	19
PWY-6270	10	10
PWY-6277	5	5
P461-PWY	20	20
PWY0-1338	6	6
PWY-7019	7	7
PWY0-1337	35	35
PWY-7013	5	5
P341-PWY	10	10
HISTSYN-PWY	11	11
PWY-6385	14	14
PWY-6386	8	8
PWY-6387	8	8
PWY-6383	5	5
PWY-5873	8	8
PWY-5872	9	9
PWY-5871	8	8
PWY-5870	9	9
ARG+POLYAMINE-SYN	17	17
PWY-6654	4	4
PWY-8143	7	7
GLUDEG-II-PWY	12	12
PWY-6491	5	5
PWY-181	9	9
PWY-3841	11	11
MET-SAM-PWY	9	9
PWY0-862	6	6
PWY-6708	8	8
PWY-7124	26	26
PWY-6724	9	9
PWY-7385	9	9
PWY-6873	4	4
PWY-5257	41	41
PWY-7383	7	7
PWY-5254	8	8
PWY-6700	4	4
PWY-5098	7	7
BIOTIN-BIOSYNTHESIS-PWY	16	16
PWY-5097	7	7
PWY-7832	10	10
COA-PWY	4	4
PWY-5419	4	4
PWY-7528	13	13
PWY-7527	12	12
PWY-7526	4	4
PWY-7525	7	7
PWY-7524	8	8
PWY-5672	17	17
PWY-5675	4	4
PWY-5677	7	7
PWY-5679	8	8
PWY-5381	12	12
PWY-5384	4	4
GALLATE-DEGRADATION-II-PWY	4	4
PWY1F-823	4	4
ILEUDEG-PWY	6	6
PWY0-781	25	25
PWY-5981	5	5
PWY-5724	9	9
PWY-7839	7	7
PWY-5488	6	6
PWY-7389	17	17
PWY-7384	10	10
PWY-7831	11	11
PWY-7833	9	9
PWY-6503	11	11
GLUCARDEG-PWY	4	4
PWY-2002	5	5
PWY-801	4	4
POLYAMINSYN3-PWY	8	8
PWY0-321	10	10
PWY-6501	5	5
PWY66-301	4	4
PWY-6121	5	5
PWY-6122	5	5
PWY-6123	6	6
PWY-6124	5	5
PWY-6125	8	8
PWY-6126	8	8
PWY-6263	11	11
PWY0-1061	6	6
PWY-6266	46	46
PWY-6269	10	10
PWY-7022	6	6
PWY-7020	17	17
PWY-7050	9	9
PWY-7027	4	4
PWY-7024	19	19
PWY4LZ-257	9	9
PWY-6397	19	19
PWY-6395	18	18
PWY-5845	10	10
PWY-8085	7	7
PWY-8086	13	13
PWY-7332	20	20
PWY0-41	8	8
PWY-6505	12	12
PWY-7736	9	9
PWY-8157	9	9
PWY-6641	6	6
ORNDEG-PWY	9	9
PWY-5941	6	6
PWY-6486	5	5
PWY5F9-12	5	5
PWY-7602	7	7
PWY-7601	7	7
PWY-7606	14	14
PWY-6731	4	4
PWY-6733	18	18
P125-PWY	5	5
PWY-5266	11	11
PWY-5265	17	17
PWY-5062	18	18
PWY-5067	4	4
PWY-5068	8	8
