cohort	pathway_id	size	hits	n_tested
ThomasAM_2018a	UDPNAGSYN-PWY	5	0	28
ThomasAM_2018a	PWY0-1061	6	0	8
ThomasAM_2018a	PWY0-1297	7	0	6
ThomasAM_2018a	HISTSYN-PWY	11	0	59
ThomasAM_2018a	HOMOSER-METSYN-PWY	5	0	6
ThomasAM_2018a	PWY-4041	6	0	8
ThomasAM_2018a	PWY-6124	5	0	58
ThomasAM_2018a	RIBOSYN2-PWY	9	0	54
ThomasAM_2018a	PWY-6629	14	0	1
ThomasAM_2018a	PWY-6353	11	0	6
ThomasAM_2018a	FUCCAT-PWY	4	0	4
ThomasAM_2018a	PWY-5989	6	0	6
ThomasAM_2018a	PWY0-781	25	0	1
ThomasAM_2018a	P4-PWY	18	0	1
ThomasAM_2018a	PYRIDNUCSYN-PWY	6	0	37
ThomasAM_2018a	DENOVOPURINE2-PWY	27	0	1
ThomasAM_2018a	SULFATE-CYS-PWY	9	0	2
ThomasAM_2018a	HSERMETANA-PWY	4	0	31
ThomasAM_2018a	PWY-6901	17	0	1
ThomasAM_2018a	PWY-6284	20	0	1
ThomasAM_2018a	THISYN-PWY	12	0	7
ThomasAM_2018a	GLCMANNANAUT-PWY	5	0	6
ThomasAM_2018a	PWY-841	21	0	1
ThomasAM_2018a	PWY-6703	4	0	43
ThomasAM_2018a	GLYCOLYSIS-E-D	16	0	1
ThomasAM_2018a	TCA-GLYOX-BYPASS	13	0	2
ThomasAM_2018a	PWY-1269	5	0	13
ThomasAM_2018a	PWY-5838	10	0	2
ThomasAM_2018a	PWY-6151	4	0	64
ThomasAM_2018a	PWY-7357	6	0	36
ThomasAM_2018a	PRPP-PWY	49	0	1
ThomasAM_2018a	PWY-5897	10	0	2
ThomasAM_2018a	PWY-5898	10	0	2
ThomasAM_2018a	PWY-5899	10	0	2
ThomasAM_2018a	PWY-6628	10	0	2
ThomasAM_2018a	PWY0-1479	10	0	4
ThomasAM_2018a	PWY-6969	10	0	2
ThomasAM_2018a	COBALSYN-PWY	9	0	15
ThomasAM_2018a	PWY0-845	11	0	12
ThomasAM_2018a	PWY-6892	8	0	23
ThomasAM_2018a	ARG+POLYAMINE-SYN	17	0	1
ThomasAM_2018a	PWY-6895	11	0	2
ThomasAM_2018a	PWY-7187	7	0	2
ThomasAM_2018a	PWY-5136	5	0	3
ThomasAM_2018a	RHAMCAT-PWY	5	0	24
ThomasAM_2018a	PWY-6897	5	0	16
ThomasAM_2018a	PWY0-1298	6	0	2
ThomasAM_2018a	COLANSYN-PWY	12	0	1
ThomasAM_2018a	PWY-5913	9	0	2
ThomasAM_2018a	PWY0-166	14	0	6
ThomasAM_2018a	PWY-6527	7	0	23
ThomasAM_2018a	PWY-5840	10	0	2
ThomasAM_2018a	PWY-5845	10	0	2
ThomasAM_2018a	PWY-5850	10	0	2
ThomasAM_2018a	PWY-5896	10	0	2
ThomasAM_2018a	P105-PWY	10	0	2
ThomasAM_2018a	SO4ASSIM-PWY	4	0	2
ThomasAM_2018a	PWY0-162	9	0	6
ThomasAM_2018a	ORNDEG-PWY	9	0	1
ThomasAM_2018a	PWY66-409	17	0	1
ThomasAM_2018a	FUC-RHAMCAT-PWY	12	0	2
ThomasAM_2018a	NAGLIPASYN-PWY	6	0	7
ThomasAM_2018a	PWY-561	15	0	1
ThomasAM_2018a	PWY-5690	10	0	2
ThomasAM_2018a	PWY-6125	8	0	26
ThomasAM_2018a	GLUCOSE1PMETAB-PWY	5	0	5
ThomasAM_2018a	GALACT-GLUCUROCAT-PWY	11	0	2
ThomasAM_2018a	PWY-6891	7	0	2
ThomasAM_2018a	PWY-6471	16	0	1
ThomasAM_2018a	PYRIDNUCSAL-PWY	7	0	1
ThomasAM_2018a	PWY-7234	6	0	13
ThomasAM_2018a	PWY-6168	9	0	25
ThomasAM_2018a	PENTOSE-P-PWY	8	0	7
ThomasAM_2018a	PYRIDOXSYN-PWY	7	0	17
ThomasAM_2018a	PWY-7117	14	0	2
ThomasAM_2018a	PWY-7282	10	0	7
ThomasAM_2018a	PWY-5138	5	0	5
ThomasAM_2018a	PWY-5861	9	0	2
ThomasAM_2018a	PWY-5659	4	0	17
ThomasAM_2018a	PWY-7228	6	0	28
ThomasAM_2018a	ENTBACSYN-PWY	11	0	2
ThomasAM_2018a	PWY-7003	16	0	1
ThomasAM_2018a	PWY-7254	10	0	1
ThomasAM_2018a	OANTIGEN-PWY	10	0	3
ThomasAM_2018a	GLUCUROCAT-PWY	7	0	4
ThomasAM_2018a	PWY-7237	10	0	39
ThomasAM_2018a	PWY-5860	9	0	2
ThomasAM_2018a	PWY-5862	9	0	2
ThomasAM_2018a	PWY-6317	5	0	19
ThomasAM_2018a	HEMESYN2-PWY	4	0	3
ThomasAM_2018a	PWY0-1241	5	0	6
ThomasAM_2018a	HEME-BIOSYNTHESIS-II	4	0	1
ThomasAM_2018a	GLUCARDEG-PWY	4	0	2
ThomasAM_2018a	PWY-5918	10	0	1
ThomasAM_2018a	PWY-6606	4	0	7
ThomasAM_2018a	PWY-7094	6	0	1
ThomasAM_2018a	PWY-7184	9	0	7
ThomasAM_2018a	THISYNARA-PWY	7	0	26
ThomasAM_2018a	PWY-7315	4	0	3
ThomasAM_2018a	POLYISOPRENSYN-PWY	6	0	2
ThomasAM_2018a	PWY-6803	4	0	2
ThomasAM_2018a	PWY-5384	4	0	7
ThomasAM_2018a	KETOGLUCONMET-PWY	8	0	2
ThomasAM_2018a	POLYAMSYN-PWY	8	0	2
ThomasAM_2018a	PWY0-1415	6	0	1
ThomasAM_2018a	PWY-5675	4	0	1
ThomasAM_2018a	PWY0-1277	9	0	1
ThomasAM_2018a	PWY-6147	5	0	23
ThomasAM_2018a	GOLPDLCAT-PWY	4	0	4
ThomasAM_2018a	NAD-BIOSYNTHESIS-II	5	0	3
ThomasAM_2018a	PWY-7323	6	0	2
ThomasAM_2018a	PWY-5837	7	0	2
ThomasAM_2018a	PPGPPMET-PWY	6	0	3
ThomasAM_2018a	PWY-5367	6	0	3
ThomasAM_2018a	PWY-7385	9	0	1
ThomasAM_2018a	PWY-5920	8	0	1
ThomasAM_2018a	PWY-6531	5	0	2
ThomasAM_2018a	PWY-5863	16	0	2
ThomasAM_2018a	HCAMHPDEG-PWY	5	0	1
ThomasAM_2018a	PWY-6690	5	0	1
ThomasAM_2018a	PWY-6630	10	0	2
ThomasAM_2018a	PWY-5189	4	0	3
ThomasAM_2018a	CITRULBIO-PWY	8	0	5
ThomasAM_2018a	PWY-7204	9	0	1
ThomasAM_2018a	PWY-4702	14	0	2
ThomasAM_2018a	PWY-2941	9	0	5
ThomasAM_2018a	P185-PWY	12	0	1
ThomasAM_2018a	UBISYN-PWY	13	0	2
ThomasAM_2018a	PWY0-42	5	0	2
ThomasAM_2018a	ECASYN-PWY	10	0	2
ThomasAM_2018a	P164-PWY	15	0	3
ThomasAM_2018a	PWY-1861	9	0	1
ThomasAM_2018a	PWY-5855	8	0	2
ThomasAM_2018a	PWY-5856	8	0	2
ThomasAM_2018a	PWY-5857	8	0	2
ThomasAM_2018a	PWY-6708	8	0	2
ThomasAM_2018a	PWY-5747	6	0	2
ThomasAM_2018a	METHGLYUT-PWY	8	0	1
ThomasAM_2018a	AST-PWY	5	0	2
ThomasAM_2018a	HISDEG-PWY	4	0	35
ThomasAM_2018a	PWY-6859	4	0	2
