cohort	pathway_id	size_members_measured	hits_FDR10	hits_nominal05	size_reactions
ThomasAM_2018a	PWY-6353	6	0	1	11
ThomasAM_2018a	FUCCAT-PWY	4	0	1	4
ThomasAM_2018a	PWY-5989	6	0	1	6
ThomasAM_2018a	PWY0-781	1	0	1	25
ThomasAM_2018a	P4-PWY	1	0	1	18
ThomasAM_2018a	PYRIDNUCSYN-PWY	37	0	1	6
ThomasAM_2018a	DENOVOPURINE2-PWY	1	0	1	27
ThomasAM_2018a	SULFATE-CYS-PWY	2	0	1	9
ThomasAM_2018a	HSERMETANA-PWY	31	0	5	4
ThomasAM_2018a	PWY-6901	1	0	1	17
ThomasAM_2018a	PWY-6284	1	0	1	20
ThomasAM_2018a	THISYN-PWY	7	0	1	12
ThomasAM_2018a	GLCMANNANAUT-PWY	6	0	2	5
ThomasAM_2018a	PWY-841	1	0	1	21
ThomasAM_2018a	PWY-6703	43	0	7	4
ThomasAM_2018a	GLYCOLYSIS-E-D	1	0	1	16
ThomasAM_2018a	TCA-GLYOX-BYPASS	2	0	1	13
ThomasAM_2018a	PWY-1269	13	0	1	5
ThomasAM_2018a	PWY-5838	2	0	1	10
ThomasAM_2018a	PWY-6151	64	0	7	4
ThomasAM_2018a	PWY-7357	36	0	2	6
ThomasAM_2018a	PRPP-PWY	1	0	1	49
ThomasAM_2018a	PWY-5897	2	0	1	10
ThomasAM_2018a	PWY-5898	2	0	1	10
ThomasAM_2018a	PWY-5899	2	0	1	10
ThomasAM_2018a	PWY-6628	2	0	1	10
ThomasAM_2018a	PWY0-1479	4	0	1	10
ThomasAM_2018a	PWY-6969	2	0	1	10
ThomasAM_2018a	COBALSYN-PWY	15	0	2	9
ThomasAM_2018a	PWY0-845	12	0	1	11
ThomasAM_2018a	PWY-6892	23	0	3	8
ThomasAM_2018a	ARG+POLYAMINE-SYN	1	0	1	17
ThomasAM_2018a	PWY-6895	2	0	1	11
ThomasAM_2018a	PWY-7187	2	0	1	7
ThomasAM_2018a	PWY-5136	3	0	2	5
ThomasAM_2018a	RHAMCAT-PWY	24	0	3	5
ThomasAM_2018a	PWY-6897	16	0	2	5
ThomasAM_2018a	PWY0-1298	2	0	1	6
ThomasAM_2018a	COLANSYN-PWY	1	0	1	12
ThomasAM_2018a	PWY-5913	2	0	1	9
ThomasAM_2018a	PWY0-166	6	0	1	14
ThomasAM_2018a	PWY-6527	23	0	2	7
ThomasAM_2018a	PWY-5840	2	0	1	10
ThomasAM_2018a	PWY-5845	2	0	1	10
ThomasAM_2018a	PWY-5850	2	0	1	10
ThomasAM_2018a	PWY-5896	2	0	1	10
ThomasAM_2018a	P105-PWY	2	0	1	10
ThomasAM_2018a	SO4ASSIM-PWY	2	0	1	4
ThomasAM_2018a	PWY0-162	6	0	1	9
ThomasAM_2018a	ORNDEG-PWY	1	0	0	9
