cohort	pathway_id	size	hits	n_strata_cols
FengQ_2015	GALACTARDEG-PWY	4	20	20
FengQ_2015	GLUCARGALACTSUPER-PWY	4	20	20
FengQ_2015	TCA	11	17	17
FengQ_2015	PWY-6531	5	7	7
FengQ_2015	PWY-6876	5	1	1
FengQ_2015	TCA-GLYOX-BYPASS	13	16	16
FengQ_2015	GLUCARDEG-PWY	4	17	17
FengQ_2015	PWY-4702	14	7	7
FengQ_2015	PWY-6803	4	16	16
FengQ_2015	AEROBACTINSYN-PWY	4	3	3
FengQ_2015	PWY-7446	5	9	9
FengQ_2015	PWY-6731	4	2	2
FengQ_2015	HEXITOLDEGSUPER-PWY	19	16	16
FengQ_2015	P4-PWY	18	13	13
FengQ_2015	ARG+POLYAMINE-SYN	17	10	10
FengQ_2015	SULFATE-CYS-PWY	9	21	21
FengQ_2015	PWY4LZ-257	9	7	7
FengQ_2015	PWY-6629	14	12	12
FengQ_2015	FOLSYN-PWY	12	7	7
FengQ_2015	GLYCOLYSIS-E-D	16	15	15
FengQ_2015	ORNDEG-PWY	9	15	15
FengQ_2015	PWY-6630	10	10	10
FengQ_2015	PWY-6628	10	13	13
FengQ_2015	FUC-RHAMCAT-PWY	12	11	11
FengQ_2015	PWY-6612	10	7	7
FengQ_2015	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	15	15
FengQ_2015	PWY-5121	12	2	2
FengQ_2015	PWY-5971	31	10	10
FengQ_2015	PWY-6895	11	11	11
FengQ_2015	PWY-6969	10	5	5
FengQ_2015	PWY-5189	4	24	24
FengQ_2015	PWY-5690	10	5	5
FengQ_2015	PWY-5723	10	17	17
FengQ_2015	PWY-6285	53	7	7
FengQ_2015	P105-PWY	10	4	4
FengQ_2015	PWY-5918	10	15	15
FengQ_2015	POLYISOPRENSYN-PWY	6	16	16
FengQ_2015	PWY-5897	10	14	14
FengQ_2015	PWY-5898	10	14	14
FengQ_2015	PWY-5899	10	14	14
FengQ_2015	PWY-5838	10	13	13
FengQ_2015	PWY-7254	10	5	5
FengQ_2015	PWY-5840	10	13	13
FengQ_2015	PWY0-1277	9	10	10
FengQ_2015	PWY-5861	9	13	13
FengQ_2015	ARGDEG-PWY	11	10	10
FengQ_2015	ORNARGDEG-PWY	11	10	10
FengQ_2015	PWY-5747	6	10	10
