cohort	pathway_id	size	hits	n_samples
FengQ_2015	PWY-5899	10	133	154
FengQ_2015	POLYAMSYN-PWY	8	154	154
FengQ_2015	SULFATE-CYS-PWY	9	146	154
FengQ_2015	P125-PWY	5	128	154
FengQ_2015	PWY-6588	5	149	154
FengQ_2015	PWY-5022	7	137	154
FengQ_2015	PWY-5005	8	136	154
FengQ_2015	GLUDEG-I-PWY	4	140	154
FengQ_2015	PWY-5464	24	124	154
FengQ_2015	PWY-5861	9	130	154
FengQ_2015	PWY-5862	9	115	154
FengQ_2015	PWY4LZ-257	9	152	154
FengQ_2015	PWY0-881	17	88	154
FengQ_2015	METHGLYUT-PWY	8	142	154
FengQ_2015	PWY-821	11	139	154
FengQ_2015	PWY-6263	11	85	154
FengQ_2015	P161-PWY	5	152	154
FengQ_2015	P42-PWY	7	153	154
FengQ_2015	PWY-6531	5	132	154
FengQ_2015	POLYAMINSYN3-PWY	8	129	154
FengQ_2015	PWY-5156	44	14	154
FengQ_2015	PWY-5189	4	146	154
FengQ_2015	PWY-5918	10	132	154
FengQ_2015	ORNDEG-PWY	9	75	154
FengQ_2015	SO4ASSIM-PWY	4	146	154
FengQ_2015	PWY66-391	7	82	154
FengQ_2015	PWY-5863	16	133	154
FengQ_2015	PWY0-1241	5	151	154
FengQ_2015	P23-PWY	13	106	154
FengQ_2015	PWY-5837	7	133	154
FengQ_2015	REDCITCYC	10	122	154
FengQ_2015	PWY-5138	5	118	154
FengQ_2015	PWY-6628	10	131	154
FengQ_2015	GALACTARDEG-PWY	4	135	154
FengQ_2015	GLUCARGALACTSUPER-PWY	4	135	154
FengQ_2015	GLUCARDEG-PWY	4	135	154
FengQ_2015	PWY-6572	8	64	154
FengQ_2015	PWY-7371	5	46	154
FengQ_2015	P105-PWY	10	98	154
FengQ_2015	HEME-BIOSYNTHESIS-II	4	136	154
FengQ_2015	P122-PWY	18	106	154
FengQ_2015	PWY66-389	4	110	154
FengQ_2015	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	102	154
FengQ_2015	PWY-7389	17	13	154
FengQ_2015	PWY66-398	11	107	154
FengQ_2015	PWY-5677	7	57	154
FengQ_2015	PWY-5723	10	121	154
FengQ_2015	ALLANTOINDEG-PWY	7	87	154
FengQ_2015	PWY0-1415	6	109	154
FengQ_2015	PWY-561	15	98	154
FengQ_2015	CRNFORCAT-PWY	4	43	154
FengQ_2015	PWY-6318	9	73	154
FengQ_2015	PWY-7384	10	14	154
FengQ_2015	P562-PWY	7	56	154
FengQ_2015	PWY-5392	13	62	154
FengQ_2015	TCA-GLYOX-BYPASS	13	102	154
FengQ_2015	PWY-7209	5	128	154
FengQ_2015	KETOGLUCONMET-PWY	8	107	154
FengQ_2015	ECASYN-PWY	10	77	154
FengQ_2015	PWY-6837	5	86	154
FengQ_2015	PWY-4722	5	66	154
FengQ_2015	PWY490-3	4	34	154
FengQ_2015	ARGDEG-PWY	11	74	154
FengQ_2015	ORNARGDEG-PWY	11	74	154
FengQ_2015	PWY-5675	4	107	154
FengQ_2015	PWY-101	4	58	154
FengQ_2015	PWY-5747	6	91	154
FengQ_2015	PWY-4702	14	105	154
FengQ_2015	PWY-7391	8	25	154
FengQ_2015	PWY-6167	10	44	154
FengQ_2015	PWY-6174	7	23	154
FengQ_2015	PWY-5101	8	79	154
FengQ_2015	METHANOGENESIS-PWY	6	53	154
FengQ_2015	PWY-6953	5	25	154
FengQ_2015	PWY-7316	4	46	154
FengQ_2015	PWY-5850	10	89	154
FengQ_2015	PWY-5896	10	89	154
FengQ_2015	PWY-6749	10	73	154
FengQ_2015	PWY-6349	6	47	154
FengQ_2015	PWY-7286	4	50	154
FengQ_2015	PWY-6629	14	110	154
FengQ_2015	PWY-6630	10	114	154
FengQ_2015	PWY-5860	9	89	154
FengQ_2015	PWY-5198	6	51	154
FengQ_2015	PWY-6478	4	37	154
FengQ_2015	PWY-6396	9	27	154
FengQ_2015	PWY-6165	12	39	154
FengQ_2015	PWY-6565	8	3	154
FengQ_2015	PWY-6562	6	35	154
FengQ_2015	P162-PWY	10	66	154
FengQ_2015	PWY-3781	4	96	154
FengQ_2015	PROPFERM-PWY	10	55	154
FengQ_2015	PWY-6435	5	44	154
FengQ_2015	PWY-6415	10	17	154
FengQ_2015	PWY-7218	26	35	154
FengQ_2015	PWY-6906	8	10	154
FengQ_2015	P163-PWY	10	36	154
FengQ_2015	UDPNACETYLGALSYN-PWY	6	20	154
FengQ_2015	PHOTOALL-PWY	17	35	154
FengQ_2015	PWY-6143	6	61	154
FengQ_2015	PWY-6138	5	16	154
FengQ_2015	PWY-6876	5	72	154
FengQ_2015	PWY1F-823	4	15	154
FengQ_2015	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4	53	154
FengQ_2015	PWY-181	9	4	154
FengQ_2015	PWY-7200	9	32	154
FengQ_2015	PWY-7254	10	103	154
FengQ_2015	PWY-7385	9	87	154
FengQ_2015	PWY-6803	4	105	154
FengQ_2015	PWY0-42	5	83	154
FengQ_2015	PWY-5656	4	73	154
FengQ_2015	PWY-6823	6	83	154
FengQ_2015	PWY-7279	4	56	154
FengQ_2015	PWY66-367	5	40	154
FengQ_2015	PWY3DJ-35471	10	39	154
FengQ_2015	PWY-7204	9	86	154
FengQ_2015	PWY-5004	12	67	154
FengQ_2015	AEROBACTINSYN-PWY	4	13	154
FengQ_2015	LYSINE-AMINOAD-PWY	11	1	154
FengQ_2015	PWY-7446	5	71	154
FengQ_2015	GLYCOL-GLYOXDEG-PWY	4	87	154
FengQ_2015	PWY-7094	6	82	154
FengQ_2015	LPSSYN-PWY	26	59	154
FengQ_2015	PWY-5705	4	70	154
FengQ_2015	KDO-NAGLIPASYN-PWY	17	73	154
FengQ_2015	PWY-7269	5	69	154
FengQ_2015	PWY0-1338	6	70	154
FengQ_2015	PWY0-1533	4	60	154
FengQ_2015	P221-PWY	5	85	154
FengQ_2015	PWY0-1277	9	66	154
FengQ_2015	HCAMHPDEG-PWY	5	68	154
FengQ_2015	PWY-6690	5	68	154
FengQ_2015	PWY-5920	8	93	154
FengQ_2015	AST-PWY	5	82	154
FengQ_2015	PWY-5692	4	64	154
FengQ_2015	URDEGR-PWY	4	64	154
FengQ_2015	PWY0-41	8	58	154
FengQ_2015	UBISYN-PWY	13	68	154
FengQ_2015	PWY-5855	8	69	154
FengQ_2015	PWY-5856	8	69	154
FengQ_2015	PWY-5857	8	69	154
FengQ_2015	PWY-6708	8	69	154
FengQ_2015	PWY-5180	7	25	154
FengQ_2015	PWY-5182	10	25	154
FengQ_2015	CODH-PWY	10	9	154
FengQ_2015	PWY-7031	6	27	154
FengQ_2015	PWY-5415	5	37	154
FengQ_2015	ENTBACSYN-PWY	11	72	154
FengQ_2015	THREOCAT-PWY	19	56	154
FengQ_2015	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	8	50	154
FengQ_2015	PWY-7039	5	12	154
FengQ_2015	PWY-6071	12	28	154
FengQ_2015	PWY0-321	10	28	154
FengQ_2015	PWY-3801	19	14	154
FengQ_2015	PWY-7345	15	14	154
FengQ_2015	PWY-7399	5	32	154
FengQ_2015	PWY-4321	5	14	154
FengQ_2015	PWY-7118	4	3	154
FengQ_2015	PWY-5088	11	44	154
FengQ_2015	PWY-7294	7	9	154
FengQ_2015	PWY66-388	7	31	154
FengQ_2015	PWY1G-0	6	20	154
FengQ_2015	PWY-5028	5	21	154
FengQ_2015	PWY-1361	7	3	154
FengQ_2015	PWY-5654	4	11	154
FengQ_2015	PWY-6210	4	14	154
FengQ_2015	LYSINE-DEG1-PWY	5	1	154
FengQ_2015	PWY-5181	12	16	154
FengQ_2015	PWY-5178	10	8	154
FengQ_2015	URSIN-PWY	7	14	154
FengQ_2015	PWY-5417	6	18	154
FengQ_2015	PWY-5431	6	18	154
FengQ_2015	PWY-6185	7	18	154
FengQ_2015	PWY-6182	7	14	154
FengQ_2015	CATECHOL-ORTHO-CLEAVAGE-PWY	4	18	154
FengQ_2015	PWY-1541	6	7	154
FengQ_2015	PWY-7165	7	14	154
FengQ_2015	TYRFUMCAT-PWY	5	3	154
FengQ_2015	PWY-5724	9	1	154
FengQ_2015	PWY-5647	7	2	154
FengQ_2015	PWY-6215	4	18	154
FengQ_2015	PWY-7268	5	9	154
FengQ_2015	PWY-7245	8	9	154
FengQ_2015	PWY-6797	7	7	154
FengQ_2015	PWY-5514	8	7	154
FengQ_2015	PWY-7431	8	2	154
FengQ_2015	PWY-6313	7	2	154
FengQ_2015	PWY-6307	4	2	154
FengQ_2015	PWY-5183	15	2	154
FengQ_2015	PWY-2221	9	6	154
FengQ_2015	PWY-6107	7	1	154
FengQ_2015	PWY-7124	26	4	154
FengQ_2015	PWY-7527	12	4	154
FengQ_2015	PWY-4361	8	6	154
FengQ_2015	PWY-5532	10	7	154
FengQ_2015	DENITRIFICATION-PWY	5	11	154
FengQ_2015	PWY-6641	6	1	154
FengQ_2015	P261-PWY	7	7	154
FengQ_2015	LIPASYN-PWY	5	8	154
FengQ_2015	PWY-5531	10	1	154
FengQ_2015	PWY-7159	10	1	154
FengQ_2015	SUCSYN-PWY	9	1	154
FengQ_2015	PWY-7238	8	1	154
FengQ_2015	PWY-7347	5	1	154
FengQ_2015	PWY-7528	13	1	154
FengQ_2015	PWY-1622	13	2	154
FengQ_2015	DHGLUCONATE-PYR-CAT-PWY	5	2	154
FengQ_2015	PWY-6148	14	2	154
FengQ_2015	ALL-CHORISMATE-PWY	50	1	154
FengQ_2015	PWY-7411	5	1	154
FengQ_2015	PWY-6981	15	1	154
FengQ_2015	PWY-5870	9	1	154
FengQ_2015	PWY-5871	8	1	154
FengQ_2015	PWY-5873	8	1	154
FengQ_2015	PWY3O-19	8	1	154
FengQ_2015	P165-PWY	18	2	154
FengQ_2015	VALDEG-PWY	8	1	154
FengQ_2015	PWY-3502	14	1	154
FengQ_2015	NADSYN-PWY	9	1	154
FengQ_2015	PWY-7283	6	1	154
FengQ_2015	PWY-5872	9	1	154
FengQ_2015	PWY-5080	4	1	154
FengQ_2015	PWY-6598	5	1	154
FengQ_2015	PWY-7619	5	1	154
FengQ_2015	PWY-6351	5	1	154
FengQ_2015	PWY-5651	5	1	154
FengQ_2015	PWY-7374	6	2	154
FengQ_2015	PWY-7317	8	1	154
FengQ_2015	PWY-5420	7	1	154
FengQ_2015	PWY-5419	4	1	154
FengQ_2015	PWY5F9-12	5	2	154
FengQ_2015	PWY-6467	5	2	154
FengQ_2015	PWY-5055	9	3	154
FengQ_2015	PWY-6281	4	1	154
FengQ_2015	PWY-7090	5	1	154
ThomasAM_2018a	PWY0-1586	12	80	80
ThomasAM_2018a	ILEUSYN-PWY	7	80	80
ThomasAM_2018a	PWY-7111	5	80	80
ThomasAM_2018a	VALSYN-PWY	4	80	80
ThomasAM_2018a	BRANCHED-CHAIN-AA-SYN-PWY	19	80	80
ThomasAM_2018a	PWY-5103	7	80	80
ThomasAM_2018a	PWY-1042	10	80	80
ThomasAM_2018a	NONOXIPENT-PWY	5	80	80
ThomasAM_2018a	CALVIN-PWY	13	80	80
ThomasAM_2018a	ARGSYNBSUB-PWY	9	80	80
ThomasAM_2018a	PWY-7229	8	80	80
ThomasAM_2018a	PWY-5695	4	80	80
ThomasAM_2018a	ARGSYN-PWY	9	80	80
ThomasAM_2018a	PWY-7400	14	80	80
ThomasAM_2018a	PWYG-321	205	78	80
ThomasAM_2018a	PWY-7221	4	80	80
ThomasAM_2018a	PWY-6126	8	80	80
ThomasAM_2018a	PWY-5686	6	80	80
ThomasAM_2018a	PWY-6936	5	80	80
ThomasAM_2018a	PWY-6385	14	80	80
ThomasAM_2018a	COA-PWY-1	5	80	80
ThomasAM_2018a	PWY-7220	4	80	80
ThomasAM_2018a	PWY-7222	4	80	80
ThomasAM_2018a	PWY-3001	13	80	80
ThomasAM_2018a	PWY-6387	8	80	80
ThomasAM_2018a	PWY-7664	14	79	80
ThomasAM_2018a	TRNA-CHARGING-PWY	21	80	80
ThomasAM_2018a	PWY-5971	31	57	80
ThomasAM_2018a	PWY-5097	7	80	80
ThomasAM_2018a	PWY-2942	8	80	80
ThomasAM_2018a	PEPTIDOGLYCANSYN-PWY	10	80	80
ThomasAM_2018a	PWY-6282	9	79	80
ThomasAM_2018a	PWY-6121	5	80	80
ThomasAM_2018a	ANAGLYCOLYSIS-PWY	11	80	80
ThomasAM_2018a	PWY0-862	6	79	80
ThomasAM_2018a	PWY-6122	5	80	80
ThomasAM_2018a	PWY-6277	5	80	80
ThomasAM_2018a	PWY-5973	5	80	80
ThomasAM_2018a	PWY-6609	4	80	80
ThomasAM_2018a	PWY-5104	6	80	80
ThomasAM_2018a	GLYCOLYSIS	12	80	80
ThomasAM_2018a	COMPLETE-ARO-PWY	17	80	80
ThomasAM_2018a	PWY-6386	8	80	80
ThomasAM_2018a	ARO-PWY	7	80	80
ThomasAM_2018a	1CMET2-PWY	9	80	80
ThomasAM_2018a	PWY-3841	11	80	80
ThomasAM_2018a	PANTO-PWY	4	80	80
ThomasAM_2018a	PWY-5154	9	80	80
ThomasAM_2018a	ANAEROFRUCAT-PWY	14	80	80
ThomasAM_2018a	PWY-5484	11	80	80
ThomasAM_2018a	METSYN-PWY	8	79	80
ThomasAM_2018a	PWY-6113	268	56	80
ThomasAM_2018a	PWY-5347	9	79	80
ThomasAM_2018a	THRESYN-PWY	6	80	80
ThomasAM_2018a	COA-PWY	4	80	80
ThomasAM_2018a	MET-SAM-PWY	9	79	80
ThomasAM_2018a	PWY-5667	4	80	80
ThomasAM_2018a	PWY0-1319	4	80	80
ThomasAM_2018a	FASYN-INITIAL-PWY	6	79	80
ThomasAM_2018a	PWY-724	10	80	80
ThomasAM_2018a	PWY-5188	6	80	80
ThomasAM_2018a	GLUTORN-PWY	5	80	80
ThomasAM_2018a	GLYCOCAT-PWY	8	75	80
